Vehicle Registration,LicensedFrom,LicensedTo
A71,01/09/2000 00:00:00,31/08/2000 00:00:00
A77,01/09/2000 00:00:00,31/08/2000 00:00:00
A78,01/09/2000 00:00:00,31/08/2000 00:00:00
A79,01/09/2000 00:00:00,31/08/2000 00:00:00
B71,01/09/2000 00:00:00,31/08/2000 00:00:00
B77,01/09/2000 00:00:00,31/08/2000 00:00:00
B78,01/09/2000 00:00:00,31/08/2000 00:00:00
B79,01/09/2000 00:00:00,31/08/2000 00:00:00
C71,01/09/2000 00:00:00,31/08/2000 00:00:00
C77,01/09/2000 00:00:00,31/08/2000 00:00:00
C78,01/09/2000 00:00:00,31/08/2000 00:00:00
C79,01/09/2000 00:00:00,31/08/2000 00:00:00
D71,01/09/2000 00:00:00,31/08/2000 00:00:00
D77,01/09/2000 00:00:00,31/08/2000 00:00:00
D78,01/09/2000 00:00:00,31/08/2000 00:00:00
D79,01/09/2000 00:00:00,31/08/2000 00:00:00
E71,01/09/2000 00:00:00,31/08/2000 00:00:00
E77,01/09/2000 00:00:00,31/08/2000 00:00:00
E78,01/09/2000 00:00:00,31/08/2000 00:00:00
E79,01/09/2000 00:00:00,31/08/2000 00:00:00
F71,01/09/2000 00:00:00,31/08/2000 00:00:00
F77,01/09/2000 00:00:00,31/08/2000 00:00:00
F78,01/09/2000 00:00:00,31/08/2000 00:00:00
F79,01/09/2000 00:00:00,31/08/2000 00:00:00
G71,01/09/2000 00:00:00,31/08/2000 00:00:00
G77,01/09/2000 00:00:00,31/08/2000 00:00:00
G78,01/09/2000 00:00:00,31/08/2000 00:00:00
G79,01/09/2000 00:00:00,31/08/2000 00:00:00
H71,01/09/2000 00:00:00,31/08/2000 00:00:00
H77,01/09/2000 00:00:00,31/08/2000 00:00:00
H78,01/09/2000 00:00:00,31/08/2000 00:00:00
H79,01/09/2000 00:00:00,31/08/2000 00:00:00
J71,01/09/2000 00:00:00,31/08/2000 00:00:00
J77,01/09/2000 00:00:00,31/08/2000 00:00:00
J78,01/09/2000 00:00:00,31/08/2000 00:00:00
J79,01/09/2000 00:00:00,31/08/2000 00:00:00
K71,01/09/2000 00:00:00,31/08/2000 00:00:00
K77,01/09/2000 00:00:00,31/08/2000 00:00:00
K78,01/09/2000 00:00:00,31/08/2000 00:00:00
K79,01/09/2000 00:00:00,31/08/2000 00:00:00
L71,01/09/2000 00:00:00,31/08/2000 00:00:00
L77,01/09/2000 00:00:00,31/08/2000 00:00:00
L78,01/09/2000 00:00:00,31/08/2000 00:00:00
L79,01/09/2000 00:00:00,31/08/2000 00:00:00
M71,01/09/2000 00:00:00,31/08/2000 00:00:00
M77,01/09/2000 00:00:00,31/08/2000 00:00:00
M78,01/09/2000 00:00:00,31/08/2000 00:00:00
M79,01/09/2000 00:00:00,31/08/2000 00:00:00
N71,01/09/2000 00:00:00,31/08/2000 00:00:00
N77,01/09/2000 00:00:00,31/08/2000 00:00:00
N78,01/09/2000 00:00:00,31/08/2000 00:00:00
N79,01/09/2000 00:00:00,31/08/2000 00:00:00
P71,01/09/2000 00:00:00,31/08/2000 00:00:00
P77,01/09/2000 00:00:00,31/08/2000 00:00:00
P78,01/09/2000 00:00:00,31/08/2000 00:00:00
P79,01/09/2000 00:00:00,31/08/2000 00:00:00
R71,01/09/2000 00:00:00,31/08/2000 00:00:00
R77,01/09/2000 00:00:00,31/08/2000 00:00:00
R78,01/09/2000 00:00:00,31/08/2000 00:00:00
R79,01/09/2000 00:00:00,31/08/2000 00:00:00
S71,01/09/2000 00:00:00,31/08/2000 00:00:00
S77,01/09/2000 00:00:00,31/08/2000 00:00:00
S78,01/09/2000 00:00:00,31/08/2000 00:00:00
S79,01/09/2000 00:00:00,31/08/2000 00:00:00
T71,01/09/2000 00:00:00,31/08/2000 00:00:00
T77,01/09/2000 00:00:00,31/08/2000 00:00:00
T78,01/09/2000 00:00:00,31/08/2000 00:00:00
T79,01/09/2000 00:00:00,31/08/2000 00:00:00
V71,01/09/2000 00:00:00,31/08/2000 00:00:00
V77,01/09/2000 00:00:00,31/08/2000 00:00:00
V78,01/09/2000 00:00:00,31/08/2000 00:00:00
V79,01/09/2000 00:00:00,31/08/2000 00:00:00
W71,01/09/2000 00:00:00,31/08/2000 00:00:00
W77,01/09/2000 00:00:00,31/08/2000 00:00:00
W78,01/09/2000 00:00:00,31/08/2000 00:00:00
W79,01/09/2000 00:00:00,31/08/2000 00:00:00
X71,01/09/2000 00:00:00,31/08/2000 00:00:00
X77,01/09/2000 00:00:00,31/08/2000 00:00:00
X78,01/09/2000 00:00:00,31/08/2000 00:00:00
X79,01/09/2000 00:00:00,31/08/2000 00:00:00
Y71,01/09/2000 00:00:00,31/08/2000 00:00:00
Y77,01/09/2000 00:00:00,31/08/2000 00:00:00
Y78,01/09/2000 00:00:00,31/08/2000 00:00:00
Y79,01/09/2000 00:00:00,31/08/2000 00:00:00
Z71,01/09/2000 00:00:00,31/08/2000 00:00:00
Z77,01/09/2000 00:00:00,31/08/2000 00:00:00
Z78,01/09/2000 00:00:00,31/08/2000 00:00:00
Z79,01/09/2000 00:00:00,31/08/2000 00:00:00
