Vehicle Registration,LicensedFrom,LicensedTo
A66,01/08/2017 00:00:00,31/07/2017 00:00:00
A67,01/08/2017 00:00:00,31/07/2017 00:00:00
A68,01/08/2017 00:00:00,31/07/2017 00:00:00
A69,01/08/2017 00:00:00,31/07/2017 00:00:00
B66,01/08/2017 00:00:00,31/07/2017 00:00:00
B67,01/08/2017 00:00:00,31/07/2017 00:00:00
B68,01/08/2017 00:00:00,31/07/2017 00:00:00
B69,01/08/2017 00:00:00,31/07/2017 00:00:00
C66,01/08/2017 00:00:00,31/07/2017 00:00:00
C67,01/08/2017 00:00:00,31/07/2017 00:00:00
C68,01/08/2017 00:00:00,31/07/2017 00:00:00
C69,01/08/2017 00:00:00,31/07/2017 00:00:00
D66,01/08/2017 00:00:00,31/07/2017 00:00:00
D67,01/08/2017 00:00:00,31/07/2017 00:00:00
D68,01/08/2017 00:00:00,31/07/2017 00:00:00
D69,01/08/2017 00:00:00,31/07/2017 00:00:00
E66,01/08/2017 00:00:00,31/07/2017 00:00:00
E67,01/08/2017 00:00:00,31/07/2017 00:00:00
E68,01/08/2017 00:00:00,31/07/2017 00:00:00
E69,01/08/2017 00:00:00,31/07/2017 00:00:00
F66,01/08/2017 00:00:00,31/07/2017 00:00:00
F67,01/08/2017 00:00:00,31/07/2017 00:00:00
F68,01/08/2017 00:00:00,31/07/2017 00:00:00
F69,01/08/2017 00:00:00,31/07/2017 00:00:00
G66,01/08/2017 00:00:00,31/07/2017 00:00:00
G67,01/08/2017 00:00:00,31/07/2017 00:00:00
G68,01/08/2017 00:00:00,31/07/2017 00:00:00
G69,01/08/2017 00:00:00,31/07/2017 00:00:00
H66,01/08/2017 00:00:00,31/07/2017 00:00:00
H67,01/08/2017 00:00:00,31/07/2017 00:00:00
H68,01/08/2017 00:00:00,31/07/2017 00:00:00
H69,01/08/2017 00:00:00,31/07/2017 00:00:00
J66,01/08/2017 00:00:00,31/07/2017 00:00:00
J67,01/08/2017 00:00:00,31/07/2017 00:00:00
J68,01/08/2017 00:00:00,31/07/2017 00:00:00
J69,01/08/2017 00:00:00,31/07/2017 00:00:00
K66,01/08/2017 00:00:00,31/07/2017 00:00:00
K67,01/08/2017 00:00:00,31/07/2017 00:00:00
K68,01/08/2017 00:00:00,31/07/2017 00:00:00
K69,01/08/2017 00:00:00,31/07/2017 00:00:00
L66,01/08/2017 00:00:00,31/07/2017 00:00:00
L67,01/08/2017 00:00:00,31/07/2017 00:00:00
L68,01/08/2017 00:00:00,31/07/2017 00:00:00
L69,01/08/2017 00:00:00,31/07/2017 00:00:00
M66,01/08/2017 00:00:00,31/07/2017 00:00:00
M67,01/08/2017 00:00:00,31/07/2017 00:00:00
M68,01/08/2017 00:00:00,31/07/2017 00:00:00
M69,01/08/2017 00:00:00,31/07/2017 00:00:00
N66,01/08/2017 00:00:00,31/07/2017 00:00:00
N67,01/08/2017 00:00:00,31/07/2017 00:00:00
N68,01/08/2017 00:00:00,31/07/2017 00:00:00
N69,01/08/2017 00:00:00,31/07/2017 00:00:00
P66,01/08/2017 00:00:00,31/07/2017 00:00:00
P67,01/08/2017 00:00:00,31/07/2017 00:00:00
P68,01/08/2017 00:00:00,31/07/2017 00:00:00
P69,01/08/2017 00:00:00,31/07/2017 00:00:00
R66,01/08/2017 00:00:00,31/07/2017 00:00:00
R67,01/08/2017 00:00:00,31/07/2017 00:00:00
R68,01/08/2017 00:00:00,31/07/2017 00:00:00
R69,01/08/2017 00:00:00,31/07/2017 00:00:00
S66,01/08/2017 00:00:00,31/07/2017 00:00:00
S67,01/08/2017 00:00:00,31/07/2017 00:00:00
S68,01/08/2017 00:00:00,31/07/2017 00:00:00
S69,01/08/2017 00:00:00,31/07/2017 00:00:00
T66,01/08/2017 00:00:00,31/07/2017 00:00:00
T67,01/08/2017 00:00:00,31/07/2017 00:00:00
T68,01/08/2017 00:00:00,31/07/2017 00:00:00
T69,01/08/2017 00:00:00,31/07/2017 00:00:00
V66,01/08/2017 00:00:00,31/07/2017 00:00:00
V67,01/08/2017 00:00:00,31/07/2017 00:00:00
V68,01/08/2017 00:00:00,31/07/2017 00:00:00
V69,01/08/2017 00:00:00,31/07/2017 00:00:00
W66,01/08/2017 00:00:00,31/07/2017 00:00:00
W67,01/08/2017 00:00:00,31/07/2017 00:00:00
W68,01/08/2017 00:00:00,31/07/2017 00:00:00
W69,01/08/2017 00:00:00,31/07/2017 00:00:00
X66,01/08/2017 00:00:00,31/07/2017 00:00:00
X67,01/08/2017 00:00:00,31/07/2017 00:00:00
X68,01/08/2017 00:00:00,31/07/2017 00:00:00
X69,01/08/2017 00:00:00,31/07/2017 00:00:00
Y66,01/08/2017 00:00:00,31/07/2017 00:00:00
Y67,01/08/2017 00:00:00,31/07/2017 00:00:00
Y68,01/08/2017 00:00:00,31/07/2017 00:00:00
Y69,01/08/2017 00:00:00,31/07/2017 00:00:00
Z66,01/08/2017 00:00:00,31/07/2017 00:00:00
Z67,01/08/2017 00:00:00,31/07/2017 00:00:00
Z68,01/08/2017 00:00:00,31/07/2017 00:00:00
Z69,01/08/2017 00:00:00,31/07/2017 00:00:00
