Vehicle Registration,Date Stolen,Date Recovered
RDZ 755,2010/9/7,
AHB 651,2010/9/7,2010/10/17
RGE 268,2010/9/7,
JMH 781,2010/9/7,2010/9/7
FJJ 595,2010/9/7,
NRS 864,2010/9/7,
MXP 418,2010/9/7,2010/9/9
HXJ 924,2010/9/7,2010/9/20
HJG 173,2010/9/7,
ZEN 121,2010/9/7,2010/9/29
CGE 846,2010/9/7,2010/10/10
HMD 113,2010/9/7,
JSL 313,2010/9/7,2010/9/23
MJH 831,2010/9/7,2010/10/12
KKW 824,2010/9/7,2010/10/4
SXT 224,2010/9/7,2010/9/14
HJR 452,2010/9/7,2010/10/22
ZZJ 138,2010/9/7,2010/9/15
WWP 651,2010/9/7,
DTM 252,2010/9/7,
FRL 843,2010/9/7,2010/10/16
MZW 315,2010/9/7,2010/9/25
SLG 375,2010/9/7,2010/9/16
KPF 777,2010/9/7,2010/9/23
XET 643,2010/9/7,2010/10/22
AKC 527,2010/9/7,2010/10/26
JRK 188,2010/9/7,2010/9/28
LDK 711,2010/9/7,2010/10/3
RAH 877,2010/9/7,2010/10/1
MTF 347,2010/9/7,2010/9/15
RPJ 133,2010/9/7,
VAD 392,2010/9/7,
XHW 242,2010/9/7,2010/10/22
EBM 152,2010/9/7,2010/9/24
ZSC 465,2010/9/7,2010/10/1
BFA 763,2010/9/7,2010/10/2
EFK 181,2010/9/7,2010/9/22
STV 378,2010/9/7,2010/10/5
RHF 212,2010/9/7,2010/9/26
WKA 222,2010/9/7,2010/9/9
MDX 373,2010/9/7,2010/9/7
KRR 873,2010/9/7,2010/10/10
SHB 314,2010/9/7,
XBE 412,2010/9/7,2010/9/19
SXS 693,2010/9/7,2010/10/26
HHT 455,2010/9/7,2010/10/9
VWK 827,2010/9/7,
VWJ 616,2010/9/7,2010/10/21
KDE 861,2010/9/7,2010/9/18
HSY 669,2010/9/7,2010/10/4
KPP 274,2010/9/7,2010/9/24
YMV 294,2010/9/7,2010/9/20
KMY 338,2010/9/7,2010/9/8
PAL 583,2010/9/7,2010/10/7
GAC 517,2010/9/7,
VFX 132,2010/9/7,2010/10/2
KFE 113,2010/9/7,2010/9/9
PXP 799,2010/9/7,2010/9/12
XYV 838,2010/9/7,2010/10/9
CXL 199,2010/9/7,2010/9/26
LMA 616,2010/9/7,
