Vehicle Registration,Date Stolen,Date Recovered
GPX 563,2012/11/16,2012/12/14
TMV 555,2012/11/16,2012/11/27
HEP 642,2012/11/16,
FZY 113,2012/11/16,2012/12/25
PCA 649,2012/11/16,
RXP 499,2012/11/16,2012/12/10
TLT 956,2012/11/16,
WVF 645,2012/11/16,2012/12/9
TWY 456,2012/11/16,2012/12/1
JNY 654,2012/11/16,2012/11/21
LMG 658,2012/11/16,2012/12/12
RWT 672,2012/11/16,
JCP 291,2012/11/16,
DHM 978,2012/11/16,2012/12/18
SXC 838,2012/11/16,2013/1/3
GZS 687,2012/11/16,2012/12/20
YWD 489,2012/11/16,2012/12/4
PEK 236,2012/11/16,2012/11/29
EHX 818,2012/11/16,2012/12/29
CTW 143,2012/11/16,2012/11/27
RGZ 872,2012/11/16,2012/12/17
MSF 158,2012/11/16,2012/12/13
SXJ 589,2012/11/16,
ZRG 124,2012/11/16,2012/11/19
ZZM 164,2012/11/16,2012/11/23
SEF 468,2012/11/16,2012/11/19
EDG 597,2012/11/16,2012/12/16
DXX 196,2012/11/16,
PZB 535,2012/11/16,2012/11/16
TJW 668,2012/11/16,
NZW 916,2012/11/16,2012/12/3
JTX 751,2012/11/16,
PCT 676,2012/11/16,2012/11/17
DAS 589,2012/11/16,2012/11/22
JTL 976,2012/11/16,
PVB 563,2012/11/16,2012/12/26
HSA 518,2012/11/16,2012/12/7
YDV 188,2012/11/16,2012/12/8
PMJ 762,2012/11/16,
ZSA 955,2012/11/16,2012/11/18
EBE 296,2012/11/16,2012/12/2
GMA 681,2012/11/16,2012/11/23
HRY 281,2012/11/16,
GAN 385,2012/11/16,2012/12/6
CWV 863,2012/11/16,
DXK 128,2012/11/16,2012/11/26
NFN 969,2012/11/16,
AAW 911,2012/11/16,2012/12/18
CNL 934,2012/11/16,
DYZ 969,2012/11/16,2012/11/19
VRT 695,2012/11/16,
VRV 646,2012/11/16,
FRY 543,2012/11/16,2012/12/16
DMT 691,2012/11/16,
YKC 431,2012/11/16,2012/12/29
SFD 665,2012/11/16,2012/12/16
ZVT 915,2012/11/16,2012/11/17
BNK 473,2012/11/16,2012/11/28
BSR 156,2012/11/16,
VHW 219,2012/11/16,2012/12/17
XDR 246,2012/11/16,2012/11/17
JNG 764,2012/11/16,2012/12/27
AMM 886,2012/11/16,2012/11/22
WNE 779,2012/11/16,
YVN 661,2012/11/16,2012/12/1
SFP 833,2012/11/16,2012/12/11
LJC 548,2012/11/16,2012/12/26
AFG 843,2012/11/16,2012/12/21
BET 883,2012/11/16,2012/12/29
EBD 593,2012/11/16,2012/11/23
BWE 389,2012/11/16,
ZFN 475,2012/11/16,2012/11/19
NCW 156,2012/11/16,2012/12/10
MDH 463,2012/11/16,2012/12/1
CSS 624,2012/11/16,
MPX 665,2012/11/16,2012/11/24
