Vehicle Registration,Date Stolen,Date Recovered
RNM 512,2011/10/21,2011/10/28
HNN 775,2011/10/21,2011/11/17
KZH 834,2011/10/21,2011/10/31
JPW 715,2011/10/21,
JFV 265,2011/10/21,2011/10/21
XVA 424,2011/10/21,2011/10/23
AJZ 286,2011/10/21,2011/11/27
JRD 434,2011/10/21,2011/12/8
CLH 574,2011/10/21,2011/10/25
ZWZ 548,2011/10/21,2011/11/23
NAS 653,2011/10/21,2011/11/5
MNT 146,2011/10/21,2011/10/30
WFG 716,2011/10/21,2011/10/26
GBE 963,2011/10/21,2011/12/5
ZDW 374,2011/10/21,2011/11/2
DPZ 261,2011/10/21,2011/11/19
RNR 159,2011/10/21,
XCH 514,2011/10/21,2011/10/26
REA 278,2011/10/21,2011/11/25
ZLN 469,2011/10/21,2011/12/7
KVG 168,2011/10/21,
DWK 617,2011/10/21,2011/11/27
MTL 514,2011/10/21,2011/11/23
WDC 946,2011/10/21,2011/11/11
DCB 311,2011/10/21,2011/11/19
BAA 851,2011/10/21,2011/11/12
TVX 855,2011/10/21,
CMF 572,2011/10/21,2011/11/21
KLM 975,2011/10/21,2011/11/24
DRJ 148,2011/10/21,2011/11/4
SWE 676,2011/10/21,2011/11/10
YZD 582,2011/10/21,2011/10/27
JLL 955,2011/10/21,2011/11/17
CKS 812,2011/10/21,2011/11/24
FKT 891,2011/10/21,2011/12/4
BWA 732,2011/10/21,
MKP 833,2011/10/21,
GYL 386,2011/10/21,2011/11/18
GWG 443,2011/10/21,2011/10/23
NPX 758,2011/10/21,2011/10/21
TRH 658,2011/10/21,2011/12/9
ENN 956,2011/10/21,2011/12/8
FEJ 483,2011/10/21,2011/11/24
JFG 745,2011/10/21,2011/11/23
YMM 239,2011/10/21,2011/11/1
WJD 771,2011/10/21,2011/12/2
RJK 356,2011/10/21,2011/10/26
ZCF 353,2011/10/21,2011/11/13
XCB 918,2011/10/21,2011/11/4
ZXN 429,2011/10/21,2011/11/13
JHB 114,2011/10/21,2011/12/8
KCE 179,2011/10/21,2011/12/8
YLX 618,2011/10/21,2011/12/4
BCG 616,2011/10/21,
RYY 224,2011/10/21,2011/11/20
CTN 962,2011/10/21,
YZM 718,2011/10/21,2011/11/6
KEZ 914,2011/10/21,2011/11/5
WDK 717,2011/10/21,2011/11/9
WHM 338,2011/10/21,2011/11/5
LFP 125,2011/10/21,2011/12/9
PJT 956,2011/10/21,2011/11/11
KVD 478,2011/10/21,
PAW 741,2011/10/21,2011/11/2
YBL 883,2011/10/21,2011/11/21
DRD 614,2011/10/21,2011/10/23
YVW 579,2011/10/21,2011/10/29
