"YVGA",0,2017-08-30T10:00:05.7051528+01:00
"YVGA",2,2017-08-30T10:02:05.7051528+01:00
"YVGA",3,2017-08-30T10:06:05.7051528+01:00
"YVGA",4,2017-08-30T10:11:05.7051528+01:00
"YVGA",8,2017-08-30T10:14:05.7051528+01:00
"YVGA",10,2017-08-30T10:16:05.7051528+01:00
"YVGA",14,2017-08-30T10:21:05.7051528+01:00
"YVGA",11,2017-08-30T10:23:05.7051528+01:00
"YVGA",12,2017-08-30T10:28:05.7051528+01:00
"YVGA",12,2017-08-30T10:32:05.7051528+01:00
"YVGA",10,2017-08-30T10:36:05.7051528+01:00
"4U0Z",2,2017-08-30T10:01:05.7051528+01:00
"4U0Z",4,2017-08-30T10:00:05.7051528+01:00
"YVGA",11,2017-08-30T10:37:05.7051528+01:00
"4U0Z",0,2017-08-30T10:04:05.7051528+01:00
"YVGA",15,2017-08-30T10:41:05.7051528+01:00
"YVGA",10,2017-08-30T10:44:05.7051528+01:00
"4U0Z",3,2017-08-30T10:05:05.7051528+01:00
"4U0Z",1,2017-08-30T10:08:05.7051528+01:00
"YVGA",14,2017-08-30T10:45:05.7051528+01:00
"4U0Z",0,2017-08-30T10:10:05.7051528+01:00
"4U0Z",0,2017-08-30T10:17:05.7051528+01:00
"4U0Z",3,2017-08-30T10:12:05.7051528+01:00
"YVGA",14,2017-08-30T10:50:05.7051528+01:00
"3G3Y",0,2017-08-30T10:00:05.7051528+01:00
"21FQ",21,2017-08-30T10:01:05.7051528+01:00
"YVGA",11,2017-08-30T10:54:05.7051528+01:00
"YVGA",6,2017-08-30T10:55:05.7051528+01:00
"3G3Y",0,2017-08-30T10:04:05.7051528+01:00
"21FQ",17,2017-08-30T10:06:05.7051528+01:00
"YVGA",5,2017-08-30T11:00:05.7051528+01:00
"4U0Z",3,2017-08-30T10:22:05.7051528+01:00
"21FQ",13,2017-08-30T10:10:05.7051528+01:00
"3G3Y",0,2017-08-30T10:05:05.7051528+01:00
"WK0Z",4,2017-08-30T10:01:05.7051528+01:00
"21FQ",15,2017-08-30T10:14:05.7051528+01:00
"BF0G",12,2017-08-30T10:00:05.7051528+01:00
"21FQ",13,2017-08-30T10:19:05.7051528+01:00
"WK0Z",1,2017-08-30T10:06:05.7051528+01:00
"4U0Z",7,2017-08-30T10:25:05.7051528+01:00
"YVGA",3,2017-08-30T11:06:05.7051528+01:00
"YVGA",4,2017-08-30T11:03:05.7051528+01:00
