Vehicle Registration,Date Stolen,Date Recovered
XNP 143,2014/3/14,2014/3/20
EVS 523,2014/3/14,2014/4/12
BSY 386,2014/3/14,
DHV 441,2014/3/14,2014/4/24
YDT 984,2014/3/14,2014/3/19
NLS 869,2014/3/14,2014/4/11
PSC 216,2014/3/14,2014/4/23
WNX 947,2014/3/14,
ZBM 167,2014/3/14,2014/3/14
PHT 499,2014/3/14,
VWV 796,2014/3/14,2014/4/10
JLB 352,2014/3/14,2014/3/22
RMW 555,2014/3/14,2014/4/2
SKP 784,2014/3/14,2014/3/30
BTE 691,2014/3/14,2014/3/24
MER 167,2014/3/14,2014/3/21
DXT 419,2014/3/14,2014/4/18
LWA 598,2014/3/14,2014/4/6
CEF 796,2014/3/14,2014/4/28
GLZ 393,2014/3/14,2014/3/30
GDN 969,2014/3/14,
AYB 117,2014/3/14,2014/4/1
TRZ 454,2014/3/14,2014/4/10
ZEB 615,2014/3/14,2014/3/31
MAE 835,2014/3/14,2014/3/31
HCT 958,2014/3/14,2014/4/5
CFL 339,2014/3/14,2014/4/8
NAY 483,2014/3/14,2014/3/18
NXN 155,2014/3/14,2014/4/6
GTB 466,2014/3/14,
TLL 792,2014/3/14,2014/4/27
MGF 269,2014/3/14,
AEJ 634,2014/3/14,2014/3/20
VGY 582,2014/3/14,
AVR 484,2014/3/14,2014/4/11
ZAM 233,2014/3/14,2014/4/13
JZG 524,2014/3/14,2014/4/29
HXZ 724,2014/3/14,2014/4/18
AFE 831,2014/3/14,2014/3/29
PYS 399,2014/3/14,2014/3/28
RND 988,2014/3/14,2014/4/24
WGZ 948,2014/3/14,2014/3/28
GDD 118,2014/3/14,2014/3/16
PPW 377,2014/3/14,2014/4/5
PKA 628,2014/3/14,
KNZ 114,2014/3/14,2014/3/28
RBY 773,2014/3/14,2014/4/6
MWF 316,2014/3/14,
WNG 987,2014/3/14,2014/4/6
SAP 581,2014/3/14,2014/3/28
HBP 677,2014/3/14,2014/4/16
ZDB 353,2014/3/14,2014/3/22
NWD 524,2014/3/14,2014/4/29
NLA 769,2014/3/14,2014/3/18
NBY 994,2014/3/14,
XZZ 762,2014/3/14,2014/4/29
WVY 988,2014/3/14,2014/3/17
CRA 379,2014/3/14,
BPT 533,2014/3/14,
LBN 243,2014/3/14,2014/3/29
NMY 812,2014/3/14,2014/4/12
AYV 341,2014/3/14,2014/4/1
GZP 145,2014/3/14,2014/3/22
ZTM 838,2014/3/14,2014/4/13
HPS 218,2014/3/14,2014/5/2
AAL 445,2014/3/14,2014/4/25
SPY 463,2014/3/14,
HHX 368,2014/3/14,
HYZ 742,2014/3/14,2014/4/30
ZRA 498,2014/3/14,2014/3/23
YDC 692,2014/3/14,
NPW 797,2014/3/14,2014/3/31
MHB 552,2014/3/14,2014/4/30
RLK 937,2014/3/14,2014/3/19
CKH 469,2014/3/14,
SYD 733,2014/3/14,2014/4/9
HVW 677,2014/3/14,2014/4/30
EPY 573,2014/3/14,2014/4/21
MGN 549,2014/3/14,2014/4/10
EYT 692,2014/3/14,2014/3/23
YER 585,2014/3/14,2014/4/24
LMF 196,2014/3/14,2014/4/1
DFF 171,2014/3/14,2014/4/22
FFK 894,2014/3/14,
KMN 563,2014/3/14,
KCB 975,2014/3/14,2014/4/14
MGK 792,2014/3/14,2014/4/17
KFF 611,2014/3/14,
SER 518,2014/3/14,2014/4/24
DEP 698,2014/3/14,2014/4/19
PYF 691,2014/3/14,2014/3/16
WRC 415,2014/3/14,2014/3/14
RZE 582,2014/3/14,2014/4/5
