Vehicle Registration,Date Stolen,Date Recovered
YCV 275,2013/3/18,2013/3/28
XCJ 186,2013/3/18,2013/4/18
LAD 776,2013/3/18,2013/4/11
LST 111,2013/3/18,2013/5/4
FGL 319,2013/3/18,2013/4/6
CBT 761,2013/3/18,2013/4/8
JHF 965,2013/3/18,2013/3/18
PHS 172,2013/3/18,2013/3/25
DZV 514,2013/3/18,2013/4/10
RYP 687,2013/3/18,2013/4/29
FKS 789,2013/3/18,2013/4/28
GER 634,2013/3/18,2013/4/11
YXN 639,2013/3/18,
WSH 784,2013/3/18,2013/4/9
LGV 344,2013/3/18,
DAF 978,2013/3/18,2013/3/29
KPR 923,2013/3/18,2013/3/22
DRX 162,2013/3/18,2013/5/1
SVD 162,2013/3/18,2013/4/16
WJL 374,2013/3/18,
LAF 375,2013/3/18,2013/4/19
EKD 769,2013/3/18,
DJD 862,2013/3/18,2013/4/23
BDC 878,2013/3/18,2013/4/20
GWN 686,2013/3/18,2013/3/22
DYV 218,2013/3/18,2013/5/4
WLC 325,2013/3/18,2013/4/7
GAE 648,2013/3/18,2013/4/11
VHK 749,2013/3/18,2013/3/24
GZT 746,2013/3/18,2013/3/30
EFA 374,2013/3/18,2013/4/17
KGG 855,2013/3/18,2013/4/27
KLH 742,2013/3/18,2013/4/10
HPA 377,2013/3/18,2013/4/30
TZJ 282,2013/3/18,2013/4/18
SPH 163,2013/3/18,2013/3/20
DJF 936,2013/3/18,
TDY 244,2013/3/18,2013/3/24
KPC 516,2013/3/18,2013/4/14
WYZ 884,2013/3/18,
NEB 349,2013/3/18,
DJJ 635,2013/3/18,2013/3/18
LPP 126,2013/3/18,2013/4/22
WBC 461,2013/3/18,2013/3/24
YWN 238,2013/3/18,2013/4/1
EYH 739,2013/3/18,2013/5/3
YPH 372,2013/3/18,2013/5/3
LNL 481,2013/3/18,
FAT 498,2013/3/18,2013/3/20
HCW 221,2013/3/18,2013/3/31
CTK 178,2013/3/18,2013/4/17
YNS 749,2013/3/18,
JEK 325,2013/3/18,
NRY 637,2013/3/18,2013/4/26
HLF 166,2013/3/18,2013/4/9
JZM 424,2013/3/18,2013/4/2
KSW 961,2013/3/18,2013/4/26
HHK 199,2013/3/18,2013/4/8
VEJ 876,2013/3/18,2013/4/11
