Vehicle Registration,LicensedFrom,LicensedTo
A61,01/07/2014 00:00:00,30/06/2014 00:00:00
A62,01/07/2014 00:00:00,30/06/2014 00:00:00
A63,01/07/2014 00:00:00,30/06/2014 00:00:00
A64,01/07/2014 00:00:00,30/06/2014 00:00:00
A65,01/07/2014 00:00:00,30/06/2014 00:00:00
B61,01/07/2014 00:00:00,30/06/2014 00:00:00
B62,01/07/2014 00:00:00,30/06/2014 00:00:00
B63,01/07/2014 00:00:00,30/06/2014 00:00:00
B64,01/07/2014 00:00:00,30/06/2014 00:00:00
B65,01/07/2014 00:00:00,30/06/2014 00:00:00
C61,01/07/2014 00:00:00,30/06/2014 00:00:00
C62,01/07/2014 00:00:00,30/06/2014 00:00:00
C63,01/07/2014 00:00:00,30/06/2014 00:00:00
C64,01/07/2014 00:00:00,30/06/2014 00:00:00
C65,01/07/2014 00:00:00,30/06/2014 00:00:00
D61,01/07/2014 00:00:00,30/06/2014 00:00:00
D62,01/07/2014 00:00:00,30/06/2014 00:00:00
D63,01/07/2014 00:00:00,30/06/2014 00:00:00
D64,01/07/2014 00:00:00,30/06/2014 00:00:00
D65,01/07/2014 00:00:00,30/06/2014 00:00:00
E61,01/07/2014 00:00:00,30/06/2014 00:00:00
E62,01/07/2014 00:00:00,30/06/2014 00:00:00
E63,01/07/2014 00:00:00,30/06/2014 00:00:00
E64,01/07/2014 00:00:00,30/06/2014 00:00:00
E65,01/07/2014 00:00:00,30/06/2014 00:00:00
F61,01/07/2014 00:00:00,30/06/2014 00:00:00
F62,01/07/2014 00:00:00,30/06/2014 00:00:00
F63,01/07/2014 00:00:00,30/06/2014 00:00:00
F64,01/07/2014 00:00:00,30/06/2014 00:00:00
F65,01/07/2014 00:00:00,30/06/2014 00:00:00
G61,01/07/2014 00:00:00,30/06/2014 00:00:00
G62,01/07/2014 00:00:00,30/06/2014 00:00:00
G63,01/07/2014 00:00:00,30/06/2014 00:00:00
G64,01/07/2014 00:00:00,30/06/2014 00:00:00
G65,01/07/2014 00:00:00,30/06/2014 00:00:00
