Vehicle Registration,LicensedFrom,LicensedTo
A81,01/11/2003 00:00:00,31/10/2003 00:00:00
A82,01/11/2003 00:00:00,31/10/2003 00:00:00
A83,01/11/2003 00:00:00,31/10/2003 00:00:00
A84,01/11/2003 00:00:00,31/10/2003 00:00:00
A85,01/11/2003 00:00:00,31/10/2003 00:00:00
A86,01/11/2003 00:00:00,31/10/2003 00:00:00
A87,01/11/2003 00:00:00,31/10/2003 00:00:00
A88,01/11/2003 00:00:00,31/10/2003 00:00:00
A89,01/11/2003 00:00:00,31/10/2003 00:00:00
B81,01/11/2003 00:00:00,31/10/2003 00:00:00
B82,01/11/2003 00:00:00,31/10/2003 00:00:00
B83,01/11/2003 00:00:00,31/10/2003 00:00:00
B84,01/11/2003 00:00:00,31/10/2003 00:00:00
B85,01/11/2003 00:00:00,31/10/2003 00:00:00
B86,01/11/2003 00:00:00,31/10/2003 00:00:00
B87,01/11/2003 00:00:00,31/10/2003 00:00:00
B88,01/11/2003 00:00:00,31/10/2003 00:00:00
B89,01/11/2003 00:00:00,31/10/2003 00:00:00
C81,01/11/2003 00:00:00,31/10/2003 00:00:00
C82,01/11/2003 00:00:00,31/10/2003 00:00:00
C83,01/11/2003 00:00:00,31/10/2003 00:00:00
C84,01/11/2003 00:00:00,31/10/2003 00:00:00
C85,01/11/2003 00:00:00,31/10/2003 00:00:00
C86,01/11/2003 00:00:00,31/10/2003 00:00:00
C87,01/11/2003 00:00:00,31/10/2003 00:00:00
C88,01/11/2003 00:00:00,31/10/2003 00:00:00
C89,01/11/2003 00:00:00,31/10/2003 00:00:00
D81,01/11/2003 00:00:00,31/10/2003 00:00:00
D82,01/11/2003 00:00:00,31/10/2003 00:00:00
D83,01/11/2003 00:00:00,31/10/2003 00:00:00
D84,01/11/2003 00:00:00,31/10/2003 00:00:00
D85,01/11/2003 00:00:00,31/10/2003 00:00:00
D86,01/11/2003 00:00:00,31/10/2003 00:00:00
D87,01/11/2003 00:00:00,31/10/2003 00:00:00
D88,01/11/2003 00:00:00,31/10/2003 00:00:00
D89,01/11/2003 00:00:00,31/10/2003 00:00:00
E81,01/11/2003 00:00:00,31/10/2003 00:00:00
E82,01/11/2003 00:00:00,31/10/2003 00:00:00
E83,01/11/2003 00:00:00,31/10/2003 00:00:00
E84,01/11/2003 00:00:00,31/10/2003 00:00:00
E85,01/11/2003 00:00:00,31/10/2003 00:00:00
E86,01/11/2003 00:00:00,31/10/2003 00:00:00
E87,01/11/2003 00:00:00,31/10/2003 00:00:00
E88,01/11/2003 00:00:00,31/10/2003 00:00:00
E89,01/11/2003 00:00:00,31/10/2003 00:00:00
F81,01/11/2003 00:00:00,31/10/2003 00:00:00
F82,01/11/2003 00:00:00,31/10/2003 00:00:00
F83,01/11/2003 00:00:00,31/10/2003 00:00:00
F84,01/11/2003 00:00:00,31/10/2003 00:00:00
