Vehicle Registration,Date Stolen,Date Recovered
WST 889,2016/9/30,2016/11/18
ZFP 299,2016/9/30,2016/10/21
PVY 464,2016/9/30,2016/10/16
JRW 275,2016/9/30,2016/10/20
WHJ 213,2016/9/30,2016/11/1
JHE 862,2016/9/30,2016/10/15
AWF 787,2016/9/30,2016/10/17
JEK 228,2016/9/30,2016/10/4
WWH 653,2016/9/30,2016/11/15
DFA 335,2016/9/30,2016/11/16
HMD 837,2016/9/30,
AZV 895,2016/9/30,2016/10/25
FSA 787,2016/9/30,2016/11/6
XYM 671,2016/9/30,2016/10/8
FDW 672,2016/9/30,
YEN 652,2016/9/30,2016/10/21
TKA 553,2016/9/30,2016/10/22
VHZ 323,2016/9/30,2016/10/18
VYM 769,2016/9/30,
LYV 622,2016/9/30,2016/10/16
MXW 316,2016/9/30,
SFW 339,2016/9/30,2016/11/11
WRV 567,2016/9/30,2016/9/30
NZA 558,2016/9/30,2016/10/19
AFT 451,2016/9/30,
MLA 416,2016/9/30,2016/11/9
BCT 548,2016/9/30,2016/10/6
WAT 268,2016/9/30,2016/10/29
WEG 925,2016/9/30,2016/10/10
WRA 276,2016/9/30,2016/11/6
DML 328,2016/9/30,2016/10/10
CYM 447,2016/9/30,2016/10/27
XDN 838,2016/9/30,2016/10/16
XZS 771,2016/9/30,2016/10/6
FTZ 143,2016/9/30,2016/11/5
AAW 397,2016/9/30,
CJE 518,2016/9/30,2016/11/2
DXK 225,2016/9/30,
VFE 674,2016/9/30,2016/10/12
KPW 391,2016/9/30,
MMR 486,2016/9/30,2016/10/12
BPY 586,2016/9/30,2016/11/9
NSK 768,2016/9/30,2016/10/21
CNC 414,2016/9/30,
GGP 682,2016/9/30,2016/10/16
ZVL 157,2016/9/30,2016/11/9
VGS 368,2016/9/30,2016/10/28
CAE 358,2016/9/30,2016/10/16
GWE 692,2016/9/30,2016/11/7
JFT 744,2016/9/30,2016/10/7
TFP 771,2016/9/30,2016/10/22
SZM 891,2016/9/30,
LWV 653,2016/9/30,2016/11/13
MGX 418,2016/9/30,2016/10/13
WWL 326,2016/9/30,2016/11/18
JTW 969,2016/9/30,2016/10/25
NNG 555,2016/9/30,2016/11/10
JAE 421,2016/9/30,2016/10/17
STY 164,2016/9/30,2016/11/16
WPF 849,2016/9/30,2016/11/15
VPW 557,2016/9/30,2016/10/11
AZX 246,2016/9/30,2016/9/30
KYG 915,2016/9/30,
PKS 931,2016/9/30,2016/10/5
CRP 628,2016/9/30,2016/10/20
MNA 658,2016/9/30,2016/10/24
PYJ 561,2016/9/30,2016/10/25
YSX 113,2016/9/30,2016/10/5
XKB 794,2016/9/30,2016/10/6
MGJ 541,2016/9/30,2016/10/28
YLG 476,2016/9/30,
CGR 593,2016/9/30,2016/11/16
KBV 277,2016/9/30,2016/10/12
VVZ 361,2016/9/30,2016/11/12
DAD 698,2016/9/30,2016/10/15
NAP 776,2016/9/30,
JDA 424,2016/9/30,
ECN 965,2016/9/30,
KTH 924,2016/9/30,2016/10/11
TMN 726,2016/9/30,
CVY 515,2016/9/30,2016/11/5
XZJ 934,2016/9/30,
NMG 937,2016/9/30,2016/10/1
YHR 784,2016/9/30,2016/10/3
PKT 869,2016/9/30,2016/10/2
APZ 214,2016/9/30,2016/10/22
YNC 635,2016/9/30,2016/11/9
TYN 781,2016/9/30,2016/11/11
YTF 867,2016/9/30,2016/10/20
LHZ 778,2016/9/30,2016/11/18
XHT 335,2016/9/30,
PJB 644,2016/9/30,2016/10/4
TMF 316,2016/9/30,
DKB 952,2016/9/30,2016/10/30
YZT 535,2016/9/30,2016/10/6
JDE 377,2016/9/30,
FAY 267,2016/9/30,2016/10/26
RND 844,2016/9/30,2016/10/30
TDS 466,2016/9/30,2016/11/2
KWX 954,2016/9/30,2016/10/24
DZS 524,2016/9/30,2016/10/14
KMX 743,2016/9/30,2016/11/18
MSM 519,2016/9/30,2016/10/24
HSV 886,2016/9/30,2016/11/8
BVT 572,2016/9/30,2016/10/13
XLZ 179,2016/9/30,
WXJ 789,2016/9/30,2016/10/16
LAD 565,2016/9/30,2016/10/18
SPP 655,2016/9/30,2016/10/14
KCP 694,2016/9/30,2016/11/17
XRY 931,2016/9/30,
KMZ 797,2016/9/30,2016/11/8
CDJ 142,2016/9/30,2016/11/2
PZH 747,2016/9/30,
AVP 964,2016/9/30,2016/10/27
EMD 956,2016/9/30,2016/10/20
