Vehicle Registration,Date Stolen,Date Recovered
BVS 545,2014/5/26,2014/7/9
TYY 887,2014/5/26,
XJC 143,2014/5/26,
JKP 188,2014/5/26,2014/7/9
WHP 796,2014/5/26,2014/5/27
XPW 591,2014/5/26,2014/7/7
FET 618,2014/5/26,2014/5/27
YNC 988,2014/5/26,2014/7/4
AAA 525,2014/5/26,2014/6/1
HMC 743,2014/5/26,2014/6/3
PDV 613,2014/5/26,
GTW 452,2014/5/26,
WXM 914,2014/5/26,2014/6/6
BKF 673,2014/5/26,2014/6/17
JVG 712,2014/5/26,2014/7/12
EZD 477,2014/5/26,2014/7/5
VBY 582,2014/5/26,
YBM 612,2014/5/26,
GFZ 781,2014/5/26,2014/7/14
YVT 138,2014/5/26,2014/5/28
PAV 639,2014/5/26,
NCT 164,2014/5/26,2014/6/26
PCC 582,2014/5/26,2014/6/14
BGP 152,2014/5/26,
AEZ 147,2014/5/26,2014/6/30
LVC 739,2014/5/26,2014/5/26
DTL 176,2014/5/26,2014/6/20
PBM 137,2014/5/26,2014/6/30
DPZ 446,2014/5/26,2014/6/24
JTZ 117,2014/5/26,
GAX 778,2014/5/26,2014/6/16
SLK 327,2014/5/26,2014/5/28
BSN 796,2014/5/26,2014/6/4
DPS 965,2014/5/26,2014/6/19
RLS 381,2014/5/26,2014/7/1
DNT 923,2014/5/26,2014/6/27
RFY 327,2014/5/26,2014/5/29
WHN 125,2014/5/26,
ZLR 797,2014/5/26,
ZFM 483,2014/5/26,2014/6/15
YZG 362,2014/5/26,2014/7/7
JAL 556,2014/5/26,2014/6/2
VMY 769,2014/5/26,2014/6/30
JXH 827,2014/5/26,2014/7/8
YRD 225,2014/5/26,2014/6/25
PTH 933,2014/5/26,2014/6/25
CVP 347,2014/5/26,
GHY 789,2014/5/26,2014/7/1
CYP 759,2014/5/26,2014/6/22
YDB 857,2014/5/26,
FAS 416,2014/5/26,2014/6/4
JBX 869,2014/5/26,2014/7/12
APW 378,2014/5/26,
FHJ 264,2014/5/26,2014/6/20
SWL 834,2014/5/26,2014/6/28
TJJ 427,2014/5/26,
ELW 984,2014/5/26,2014/6/12
FNC 729,2014/5/26,2014/6/24
NGC 742,2014/5/26,2014/6/12
ZGN 354,2014/5/26,2014/5/26
NHA 266,2014/5/26,2014/6/29
LBM 739,2014/5/26,2014/6/15
VJW 861,2014/5/26,
CEY 681,2014/5/26,2014/7/11
NNC 895,2014/5/26,2014/6/15
PVE 466,2014/5/26,2014/6/15
XVL 152,2014/5/26,2014/7/12
TZA 461,2014/5/26,2014/6/21
DRC 786,2014/5/26,2014/7/5
ZWD 883,2014/5/26,2014/6/14
VYS 968,2014/5/26,2014/6/12
PNA 941,2014/5/26,2014/6/11
FVE 957,2014/5/26,2014/6/3
ZDC 712,2014/5/26,2014/7/1
PMP 745,2014/5/26,2014/7/9
HTB 368,2014/5/26,2014/7/10
MRM 194,2014/5/26,
VKZ 477,2014/5/26,2014/6/11
WLH 946,2014/5/26,2014/6/2
XYP 879,2014/5/26,
FDD 467,2014/5/26,
PMX 955,2014/5/26,2014/6/25
KPJ 151,2014/5/26,2014/6/20
MVD 182,2014/5/26,2014/6/13
TWD 559,2014/5/26,
YEG 973,2014/5/26,2014/6/3
GZH 156,2014/5/26,2014/6/28
RGX 855,2014/5/26,2014/6/13
DAD 731,2014/5/26,2014/6/1
TFC 376,2014/5/26,2014/6/1
PSV 883,2014/5/26,
DYW 311,2014/5/26,2014/6/26
VWT 715,2014/5/26,2014/6/2
WXH 354,2014/5/26,
DPE 875,2014/5/26,2014/6/28
SBN 439,2014/5/26,2014/6/15
PPL 884,2014/5/26,
NNZ 991,2014/5/26,2014/6/23
KVC 588,2014/5/26,2014/7/5
DWZ 998,2014/5/26,2014/7/14
LPS 996,2014/5/26,2014/6/4
JAF 267,2014/5/26,2014/7/10
MVY 489,2014/5/26,2014/7/10
VES 153,2014/5/26,2014/6/7
NAL 446,2014/5/26,2014/7/8
PJB 867,2014/5/26,2014/6/28
ZHL 286,2014/5/26,2014/6/3
SXC 792,2014/5/26,
VKN 635,2014/5/26,2014/6/10
XDW 491,2014/5/26,
NHB 271,2014/5/26,2014/7/10
WYR 562,2014/5/26,2014/7/8
DXA 222,2014/5/26,2014/5/31
APF 777,2014/5/26,2014/6/26
SZC 622,2014/5/26,2014/6/16
MNS 488,2014/5/26,2014/6/8
GJF 111,2014/5/26,2014/5/27
ERC 182,2014/5/26,
HBT 613,2014/5/26,
KHN 547,2014/5/26,
HMK 456,2014/5/26,2014/6/21
YSJ 513,2014/5/26,2014/7/4
GPA 817,2014/5/26,
BFN 755,2014/5/26,2014/5/27
CYT 379,2014/5/26,2014/6/22
MDR 498,2014/5/26,
NEE 777,2014/5/26,2014/5/29
XKF 318,2014/5/26,2014/5/30
RXJ 165,2014/5/26,2014/6/26
BGG 993,2014/5/26,2014/5/31
FKD 333,2014/5/26,2014/7/1
XBK 373,2014/5/26,2014/6/28
BFS 159,2014/5/26,
PWS 442,2014/5/26,2014/6/29
HAB 678,2014/5/26,2014/6/3
DZE 513,2014/5/26,2014/7/1
RPW 761,2014/5/26,2014/7/2
YAS 553,2014/5/26,2014/7/13
JVZ 621,2014/5/26,2014/7/14
BGW 571,2014/5/26,2014/5/29
CXV 839,2014/5/26,2014/5/29
FTS 627,2014/5/26,2014/7/8
ALD 341,2014/5/26,2014/6/25
PNS 333,2014/5/26,2014/6/22
ZKH 652,2014/5/26,2014/6/16
STJ 444,2014/5/26,2014/6/2
KZL 388,2014/5/26,
GED 738,2014/5/26,2014/7/13
EVS 742,2014/5/26,2014/6/10
BSM 672,2014/5/26,2014/6/5
KJW 383,2014/5/26,
LHJ 317,2014/5/26,2014/6/4
VJE 664,2014/5/26,2014/7/12
SPE 233,2014/5/26,
ZXG 897,2014/5/26,2014/6/3
TME 189,2014/5/26,2014/7/6
MPW 396,2014/5/26,
KPN 218,2014/5/26,
ZGH 243,2014/5/26,
EGW 229,2014/5/26,2014/6/15
VXP 751,2014/5/26,2014/5/31
FGL 429,2014/5/26,2014/7/8
SBB 567,2014/5/26,
RTB 775,2014/5/26,2014/7/4
EXJ 232,2014/5/26,2014/6/28
DYW 286,2014/5/26,2014/7/12
KAK 288,2014/5/26,
YKB 794,2014/5/26,2014/6/27
LYD 367,2014/5/26,2014/6/24
JCH 788,2014/5/26,
VXF 716,2014/5/26,2014/6/29
WGF 819,2014/5/26,2014/5/28
GCR 947,2014/5/26,2014/6/25
JXV 754,2014/5/26,
CZZ 129,2014/5/26,2014/6/29
FWK 448,2014/5/26,2014/6/16
BPK 724,2014/5/26,
FMH 289,2014/5/26,2014/7/5
ABR 199,2014/5/26,2014/6/24
JVR 633,2014/5/26,2014/6/10
LGS 995,2014/5/26,2014/5/28
JWV 665,2014/5/26,2014/5/26
AZG 423,2014/5/26,
ABH 371,2014/5/26,
ESR 539,2014/5/26,2014/6/23
AYS 129,2014/5/26,2014/7/4
VHN 399,2014/5/26,
VPX 827,2014/5/26,2014/5/26
ZVK 885,2014/5/26,
JTH 264,2014/5/26,
FLM 446,2014/5/26,2014/5/28
EMT 617,2014/5/26,2014/6/14
YHB 459,2014/5/26,2014/5/26
GLX 263,2014/5/26,2014/6/22
TWN 726,2014/5/26,2014/7/12
TDR 374,2014/5/26,2014/5/31
JAF 345,2014/5/26,2014/6/21
LEB 978,2014/5/26,2014/6/30
ZJX 217,2014/5/26,2014/6/1
JRR 437,2014/5/26,2014/6/23
JDV 513,2014/5/26,2014/7/14
GFE 961,2014/5/26,2014/6/30
KVH 459,2014/5/26,2014/6/24
YZX 782,2014/5/26,2014/5/31
RDN 512,2014/5/26,2014/7/4
JPX 852,2014/5/26,2014/6/28
ZTZ 542,2014/5/26,2014/6/12
NDP 243,2014/5/26,
CLG 442,2014/5/26,2014/7/8
ZPZ 917,2014/5/26,2014/6/4
GMS 126,2014/5/26,2014/6/15
WCY 866,2014/5/26,
DST 183,2014/5/26,2014/7/13
XSL 724,2014/5/26,2014/6/16
YXW 864,2014/5/26,2014/7/14
BWP 329,2014/5/26,2014/6/28
FXV 392,2014/5/26,
NYD 426,2014/5/26,2014/6/7
SBY 785,2014/5/26,2014/6/20
SGZ 167,2014/5/26,2014/6/23
BDL 362,2014/5/26,2014/7/10
ZVG 636,2014/5/26,2014/6/9
NEN 219,2014/5/26,2014/6/20
JBN 728,2014/5/26,2014/6/14
HFJ 129,2014/5/26,2014/7/1
DDS 128,2014/5/26,
ZNL 414,2014/5/26,
PSY 663,2014/5/26,
KKG 123,2014/5/26,2014/6/7
LAZ 935,2014/5/26,2014/6/24
RKS 649,2014/5/26,2014/7/3
JGJ 592,2014/5/26,2014/5/26
NMP 754,2014/5/26,2014/7/14
GVY 159,2014/5/26,
CJY 269,2014/5/26,2014/7/5
RJR 888,2014/5/26,2014/6/28
ZBH 798,2014/5/26,2014/7/14
KZH 616,2014/5/26,2014/6/16
LFH 638,2014/5/26,2014/6/13
TCC 272,2014/5/26,2014/7/8
CPC 461,2014/5/26,2014/6/7
JPT 663,2014/5/26,2014/6/18
ZFH 651,2014/5/26,
SSA 878,2014/5/26,2014/6/26
BVK 451,2014/5/26,2014/7/5
AAD 627,2014/5/26,2014/5/26
RCE 473,2014/5/26,
MZT 915,2014/5/26,2014/6/24
ZLM 881,2014/5/26,2014/6/16
KYN 495,2014/5/26,2014/7/14
SMC 662,2014/5/26,2014/6/19
SJW 639,2014/5/26,2014/6/12
LPR 732,2014/5/26,2014/6/27
RFZ 877,2014/5/26,
AWE 539,2014/5/26,2014/7/11
ZSC 438,2014/5/26,2014/6/29
PAY 383,2014/5/26,2014/6/27
XNY 426,2014/5/26,
GTN 478,2014/5/26,2014/6/6
RXS 512,2014/5/26,2014/6/9
NLF 778,2014/5/26,2014/6/8
DRR 715,2014/5/26,2014/6/22
PCD 533,2014/5/26,2014/7/3
VLR 961,2014/5/26,2014/6/18
GCW 744,2014/5/26,2014/6/9
LXF 125,2014/5/26,
HJY 918,2014/5/26,2014/6/19
SKY 324,2014/5/26,
EAL 978,2014/5/26,2014/7/8
VSA 597,2014/5/26,2014/6/28
BLP 225,2014/5/26,2014/6/24
PMA 151,2014/5/26,
VEX 215,2014/5/26,2014/6/17
MRC 471,2014/5/26,2014/6/11
TPE 778,2014/5/26,2014/7/10
KYG 288,2014/5/26,2014/7/4
JXR 886,2014/5/26,2014/6/9
BCR 542,2014/5/26,2014/7/2
EAF 886,2014/5/26,2014/6/15
GFS 123,2014/5/26,2014/7/1
XHZ 845,2014/5/26,
GRP 634,2014/5/26,2014/6/7
ESZ 769,2014/5/26,2014/7/13
LTM 683,2014/5/26,2014/6/15
JZP 138,2014/5/26,2014/6/5
WBN 217,2014/5/26,2014/6/28
ZLW 539,2014/5/26,2014/5/29
JFJ 696,2014/5/26,
FWF 382,2014/5/26,2014/7/14
MGX 648,2014/5/26,2014/7/2
CRP 449,2014/5/26,2014/6/18
XRR 956,2014/5/26,2014/6/29
SMY 254,2014/5/26,2014/5/30
MMY 115,2014/5/26,2014/6/25
LRM 399,2014/5/26,2014/6/29
JXH 259,2014/5/26,2014/7/7
NPW 886,2014/5/26,2014/6/6
NWX 894,2014/5/26,2014/6/10
BBL 814,2014/5/26,2014/6/11
VRV 619,2014/5/26,2014/6/6
RAL 567,2014/5/26,2014/7/2
KWT 118,2014/5/26,2014/6/9
NZB 551,2014/5/26,2014/7/6
GBA 286,2014/5/26,2014/6/27
PHE 998,2014/5/26,2014/7/1
HNJ 363,2014/5/26,2014/6/28
HVB 188,2014/5/26,2014/5/27
EFE 676,2014/5/26,2014/5/31
EDL 763,2014/5/26,2014/7/14
FVC 966,2014/5/26,
KBW 956,2014/5/26,2014/7/1
HMT 762,2014/5/26,2014/6/22
LNB 579,2014/5/26,
WHW 162,2014/5/26,2014/5/27
RDD 772,2014/5/26,2014/6/11
JPJ 163,2014/5/26,
FJK 152,2014/5/26,2014/6/8
SVD 276,2014/5/26,2014/6/3
MDB 598,2014/5/26,2014/5/26
FKB 253,2014/5/26,2014/6/18
GTW 379,2014/5/26,2014/5/28
WSZ 992,2014/5/26,2014/7/11
LEN 425,2014/5/26,2014/5/30
JBW 212,2014/5/26,2014/7/11
HPW 989,2014/5/26,2014/6/20
CNR 391,2014/5/26,
LGR 461,2014/5/26,2014/6/14
RLY 629,2014/5/26,2014/6/18
VMR 439,2014/5/26,2014/7/12
SAG 698,2014/5/26,2014/6/19
RVR 756,2014/5/26,2014/7/5
ECF 398,2014/5/26,2014/6/17
CYM 441,2014/5/26,2014/7/2
HCR 687,2014/5/26,2014/7/7
ZNA 337,2014/5/26,2014/6/7
SJD 276,2014/5/26,2014/6/24
NBM 931,2014/5/26,2014/7/12
ADJ 482,2014/5/26,2014/6/19
FJH 482,2014/5/26,2014/7/13
SGS 185,2014/5/26,2014/7/1
MWC 739,2014/5/26,2014/6/24
PJG 148,2014/5/26,2014/6/11
XSZ 432,2014/5/26,2014/7/14
CDG 949,2014/5/26,2014/7/1
KPW 117,2014/5/26,2014/6/6
VLT 589,2014/5/26,2014/5/26
ZCC 264,2014/5/26,2014/6/18
WRP 166,2014/5/26,2014/6/18
RVP 713,2014/5/26,
LPN 845,2014/5/26,2014/6/25
DLA 385,2014/5/26,
DME 422,2014/5/26,
ABV 133,2014/5/26,2014/7/3
RAS 986,2014/5/26,2014/7/10
AJX 262,2014/5/26,
YNN 511,2014/5/26,2014/7/12
XJV 476,2014/5/26,2014/7/12
SHR 789,2014/5/26,2014/6/8
PXJ 736,2014/5/26,2014/6/25
CRB 773,2014/5/26,2014/6/24
BKC 485,2014/5/26,2014/6/22
KAK 352,2014/5/26,
GAY 372,2014/5/26,2014/5/28
VZF 253,2014/5/26,2014/6/1
TCS 488,2014/5/26,
GYH 324,2014/5/26,2014/6/8
HBJ 734,2014/5/26,2014/7/6
HVP 835,2014/5/26,
XZL 559,2014/5/26,2014/6/4
HXY 788,2014/5/26,2014/6/3
SGV 484,2014/5/26,2014/6/4
FVB 938,2014/5/26,2014/7/3
BDH 288,2014/5/26,2014/6/18
XZH 441,2014/5/26,2014/5/28
RDD 965,2014/5/26,2014/6/10
VCE 782,2014/5/26,2014/6/3
CAS 751,2014/5/26,2014/6/24
WHN 917,2014/5/26,2014/7/12
TMH 168,2014/5/26,2014/6/5
WWJ 767,2014/5/26,2014/6/23
VVG 443,2014/5/26,2014/5/28
NFD 394,2014/5/26,
DZZ 481,2014/5/26,2014/7/10
WCX 668,2014/5/26,
VXB 355,2014/5/26,2014/7/9
KRM 469,2014/5/26,2014/6/30
KHP 682,2014/5/26,2014/7/5
XZN 354,2014/5/26,2014/5/27
ZBM 142,2014/5/26,2014/6/22
BNX 265,2014/5/26,2014/6/29
JLD 336,2014/5/26,2014/6/8
