Vehicle Registration,Date Stolen,Date Recovered
CMK 553,2016/11/24,2016/12/17
SVV 465,2016/11/24,2016/12/28
EEJ 793,2016/11/24,2016/12/5
YZS 986,2016/11/24,
FYP 224,2016/11/24,2016/12/31
DPZ 665,2016/11/24,2016/12/15
FLP 633,2016/11/24,2016/12/16
GPN 565,2016/11/24,
BTC 695,2016/11/24,2016/12/29
KEM 346,2016/11/24,2016/12/2
NXS 491,2016/11/24,2017/1/5
LWY 582,2016/11/24,2016/12/24
AWP 947,2016/11/24,2017/1/8
VTF 172,2016/11/24,2016/12/15
KCA 783,2016/11/24,2016/11/30
XCD 152,2016/11/24,2016/11/27
NXG 593,2016/11/24,2016/11/25
ZYN 388,2016/11/24,2016/12/7
KEB 629,2016/11/24,2017/1/3
TRA 368,2016/11/24,2016/12/4
RAK 889,2016/11/24,
CET 868,2016/11/24,
WVR 324,2016/11/24,2016/11/25
CLT 337,2016/11/24,
SZN 844,2016/11/24,2016/12/18
KXN 929,2016/11/24,2016/11/30
NYK 828,2016/11/24,2016/12/15
ZVT 425,2016/11/24,2017/1/7
BPD 633,2016/11/24,2016/12/29
HDX 381,2016/11/24,
JXT 444,2016/11/24,2017/1/11
NGX 672,2016/11/24,2016/12/10
ZFY 575,2016/11/24,2016/12/21
EAL 112,2016/11/24,2016/12/15
GNZ 375,2016/11/24,2017/1/12
PHC 942,2016/11/24,2016/12/29
WXF 629,2016/11/24,2016/12/13
HKD 499,2016/11/24,2017/1/4
XZG 221,2016/11/24,2016/12/5
FFY 446,2016/11/24,
GFD 198,2016/11/24,2016/12/31
DBY 346,2016/11/24,2016/12/31
MSC 485,2016/11/24,2016/11/28
RVH 919,2016/11/24,2016/12/21
KBA 787,2016/11/24,
FZZ 129,2016/11/24,2016/11/29
MFY 656,2016/11/24,2016/12/5
DJK 158,2016/11/24,2016/12/8
MDX 361,2016/11/24,2017/1/8
EBC 861,2016/11/24,2016/12/25
STJ 819,2016/11/24,2016/12/7
XGM 434,2016/11/24,2016/12/21
SSM 918,2016/11/24,2016/11/24
HDK 454,2016/11/24,
TRK 755,2016/11/24,2016/12/5
XCK 355,2016/11/24,2016/12/18
MTD 856,2016/11/24,2016/12/30
SYL 858,2016/11/24,2016/12/7
CKP 697,2016/11/24,2017/1/7
LWC 947,2016/11/24,2017/1/10
RNY 823,2016/11/24,
YMB 514,2016/11/24,
WXE 198,2016/11/24,2017/1/6
WZJ 758,2016/11/24,
ZRE 995,2016/11/24,2016/12/10
XLR 474,2016/11/24,
SCB 558,2016/11/24,2017/1/7
SEY 298,2016/11/24,
BAN 423,2016/11/24,2016/11/29
NHD 424,2016/11/24,2016/11/25
VFZ 479,2016/11/24,
TJE 752,2016/11/24,
XMJ 788,2016/11/24,2017/1/10
ZSY 275,2016/11/24,2016/12/22
DKJ 782,2016/11/24,
KKP 714,2016/11/24,2017/1/4
KDN 713,2016/11/24,
GNK 114,2016/11/24,2016/12/15
WXN 173,2016/11/24,2016/12/1
CGG 422,2016/11/24,2016/12/9
XLS 589,2016/11/24,2016/12/5
SJJ 374,2016/11/24,
AHY 287,2016/11/24,2016/12/31
AXN 714,2016/11/24,
GXD 678,2016/11/24,2016/12/15
RSJ 388,2016/11/24,2017/1/9
FFH 832,2016/11/24,
TLM 945,2016/11/24,2017/1/4
MFA 835,2016/11/24,
XAM 244,2016/11/24,
ZVL 791,2016/11/24,
CAW 344,2016/11/24,
XAV 681,2016/11/24,2016/12/19
ZEY 366,2016/11/24,2017/1/2
CJA 591,2016/11/24,2016/12/13
HWT 261,2016/11/24,2017/1/2
KHF 467,2016/11/24,2016/12/8
GSV 717,2016/11/24,2016/12/22
EMD 941,2016/11/24,2016/12/4
PGF 133,2016/11/24,2016/12/2
KLV 345,2016/11/24,2016/12/28
CCE 336,2016/11/24,2016/12/15
FFA 188,2016/11/24,2016/11/25
CKT 353,2016/11/24,
MVH 683,2016/11/24,2016/12/1
WVV 389,2016/11/24,2016/12/20
WNT 131,2016/11/24,2016/11/29
KLD 974,2016/11/24,2017/1/5
LET 538,2016/11/24,2017/1/3
CFF 117,2016/11/24,
XTL 956,2016/11/24,2016/12/30
STD 422,2016/11/24,2016/11/25
YZW 621,2016/11/24,
TVY 181,2016/11/24,2016/12/20
ZZA 999,2016/11/24,2016/12/11
LGT 574,2016/11/24,2017/1/2
ETC 188,2016/11/24,2017/1/11
BKE 777,2016/11/24,2016/12/25
FKK 221,2016/11/24,
PZD 932,2016/11/24,2016/12/11
AAV 194,2016/11/24,
