Vehicle Registration,Date Stolen,Date Recovered
YDV 736,2012/12/13,2013/1/9
GLD 273,2012/12/13,2013/1/30
KVF 147,2012/12/13,2013/1/12
NPK 834,2012/12/13,2012/12/27
WTV 554,2012/12/13,2013/1/17
ART 557,2012/12/13,2013/1/22
LYK 279,2012/12/13,2013/1/20
MWC 727,2012/12/13,2012/12/29
DFG 155,2012/12/13,
BXA 892,2012/12/13,2013/1/3
WNH 392,2012/12/13,2012/12/21
ZNX 631,2012/12/13,2012/12/22
GYG 348,2012/12/13,2012/12/31
AKC 899,2012/12/13,2012/12/27
JFX 641,2012/12/13,
BJB 963,2012/12/13,
STL 182,2012/12/13,
EJH 513,2012/12/13,2012/12/14
GLF 126,2012/12/13,2013/1/24
BFF 974,2012/12/13,2012/12/30
TAD 253,2012/12/13,2013/1/11
TWK 173,2012/12/13,2012/12/15
HBR 196,2012/12/13,
XDZ 685,2012/12/13,2012/12/28
ANV 928,2012/12/13,
XZG 328,2012/12/13,2013/1/13
EMR 673,2012/12/13,
DZF 431,2012/12/13,2013/1/2
MRA 151,2012/12/13,2013/1/9
PRE 146,2012/12/13,
MEJ 486,2012/12/13,2013/1/31
WSW 261,2012/12/13,2013/1/17
NAV 585,2012/12/13,
ZDA 217,2012/12/13,2013/1/19
ZEW 161,2012/12/13,2013/1/3
SFF 834,2012/12/13,2013/1/26
YGL 376,2012/12/13,2012/12/27
ZFJ 768,2012/12/13,
ZGE 436,2012/12/13,2012/12/24
NYT 635,2012/12/13,2013/1/26
GME 734,2012/12/13,2013/1/20
XXC 467,2012/12/13,2012/12/24
LDW 925,2012/12/13,2012/12/25
BZT 887,2012/12/13,2013/1/15
HTJ 161,2012/12/13,2013/1/23
LVM 458,2012/12/13,2013/1/23
SYB 269,2012/12/13,2013/1/6
GYR 379,2012/12/13,
ENB 942,2012/12/13,2012/12/24
GGL 398,2012/12/13,2013/1/18
CXC 875,2012/12/13,2013/1/27
FNV 745,2012/12/13,2013/1/23
DJE 979,2012/12/13,2013/1/4
SNW 352,2012/12/13,2013/1/26
EJE 887,2012/12/13,2013/1/5
RRP 845,2012/12/13,2012/12/20
LYD 567,2012/12/13,
KME 166,2012/12/13,
SHL 931,2012/12/13,2013/1/16
YMH 136,2012/12/13,
KBW 514,2012/12/13,2013/1/22
WAH 454,2012/12/13,
