Vehicle Registration,LicensedFrom,LicensedTo
A72,01/10/2015 00:00:00,30/09/2015 00:00:00
A73,01/10/2015 00:00:00,30/09/2015 00:00:00
A74,01/10/2015 00:00:00,30/09/2015 00:00:00
A75,01/10/2015 00:00:00,30/09/2015 00:00:00
A76,01/10/2015 00:00:00,30/09/2015 00:00:00
B72,01/10/2015 00:00:00,30/09/2015 00:00:00
B73,01/10/2015 00:00:00,30/09/2015 00:00:00
B74,01/10/2015 00:00:00,30/09/2015 00:00:00
B75,01/10/2015 00:00:00,30/09/2015 00:00:00
B76,01/10/2015 00:00:00,30/09/2015 00:00:00
C72,01/10/2015 00:00:00,30/09/2015 00:00:00
C73,01/10/2015 00:00:00,30/09/2015 00:00:00
C74,01/10/2015 00:00:00,30/09/2015 00:00:00
C75,01/10/2015 00:00:00,30/09/2015 00:00:00
C76,01/10/2015 00:00:00,30/09/2015 00:00:00
D72,01/10/2015 00:00:00,30/09/2015 00:00:00
D73,01/10/2015 00:00:00,30/09/2015 00:00:00
D74,01/10/2015 00:00:00,30/09/2015 00:00:00
D75,01/10/2015 00:00:00,30/09/2015 00:00:00
D76,01/10/2015 00:00:00,30/09/2015 00:00:00
E72,01/10/2015 00:00:00,30/09/2015 00:00:00
E73,01/10/2015 00:00:00,30/09/2015 00:00:00
E74,01/10/2015 00:00:00,30/09/2015 00:00:00
E75,01/10/2015 00:00:00,30/09/2015 00:00:00
E76,01/10/2015 00:00:00,30/09/2015 00:00:00
F72,01/10/2015 00:00:00,30/09/2015 00:00:00
F73,01/10/2015 00:00:00,30/09/2015 00:00:00
F74,01/10/2015 00:00:00,30/09/2015 00:00:00
F75,01/10/2015 00:00:00,30/09/2015 00:00:00
F76,01/10/2015 00:00:00,30/09/2015 00:00:00
G72,01/10/2015 00:00:00,30/09/2015 00:00:00
G73,01/10/2015 00:00:00,30/09/2015 00:00:00
G74,01/10/2015 00:00:00,30/09/2015 00:00:00
G75,01/10/2015 00:00:00,30/09/2015 00:00:00
G76,01/10/2015 00:00:00,30/09/2015 00:00:00
H72,01/10/2015 00:00:00,30/09/2015 00:00:00
H73,01/10/2015 00:00:00,30/09/2015 00:00:00
H74,01/10/2015 00:00:00,30/09/2015 00:00:00
H75,01/10/2015 00:00:00,30/09/2015 00:00:00
H76,01/10/2015 00:00:00,30/09/2015 00:00:00
J72,01/10/2015 00:00:00,30/09/2015 00:00:00
J73,01/10/2015 00:00:00,30/09/2015 00:00:00
J74,01/10/2015 00:00:00,30/09/2015 00:00:00
J75,01/10/2015 00:00:00,30/09/2015 00:00:00
J76,01/10/2015 00:00:00,30/09/2015 00:00:00
K72,01/10/2015 00:00:00,30/09/2015 00:00:00
K73,01/10/2015 00:00:00,30/09/2015 00:00:00
K74,01/10/2015 00:00:00,30/09/2015 00:00:00
K75,01/10/2015 00:00:00,30/09/2015 00:00:00
K76,01/10/2015 00:00:00,30/09/2015 00:00:00
L72,01/10/2015 00:00:00,30/09/2015 00:00:00
L73,01/10/2015 00:00:00,30/09/2015 00:00:00
L74,01/10/2015 00:00:00,30/09/2015 00:00:00
L75,01/10/2015 00:00:00,30/09/2015 00:00:00
L76,01/10/2015 00:00:00,30/09/2015 00:00:00
M72,01/10/2015 00:00:00,30/09/2015 00:00:00
M73,01/10/2015 00:00:00,30/09/2015 00:00:00
M74,01/10/2015 00:00:00,30/09/2015 00:00:00
M75,01/10/2015 00:00:00,30/09/2015 00:00:00
M76,01/10/2015 00:00:00,30/09/2015 00:00:00
N72,01/10/2015 00:00:00,30/09/2015 00:00:00
N73,01/10/2015 00:00:00,30/09/2015 00:00:00
N74,01/10/2015 00:00:00,30/09/2015 00:00:00
N75,01/10/2015 00:00:00,30/09/2015 00:00:00
N76,01/10/2015 00:00:00,30/09/2015 00:00:00
P72,01/10/2015 00:00:00,30/09/2015 00:00:00
P73,01/10/2015 00:00:00,30/09/2015 00:00:00
P74,01/10/2015 00:00:00,30/09/2015 00:00:00
P75,01/10/2015 00:00:00,30/09/2015 00:00:00
P76,01/10/2015 00:00:00,30/09/2015 00:00:00
R72,01/10/2015 00:00:00,30/09/2015 00:00:00
R73,01/10/2015 00:00:00,30/09/2015 00:00:00
R74,01/10/2015 00:00:00,30/09/2015 00:00:00
R75,01/10/2015 00:00:00,30/09/2015 00:00:00
R76,01/10/2015 00:00:00,30/09/2015 00:00:00
