Vehicle Registration,Date Stolen,Date Recovered
NBS 242,2016/12/1,2016/12/21
RLE 559,2016/12/1,2016/12/10
BWT 238,2016/12/1,2016/12/27
GMY 732,2016/12/1,2016/12/6
XWV 947,2016/12/1,2016/12/31
CZG 758,2016/12/1,2017/1/9
VKB 982,2016/12/1,2017/1/13
NDW 937,2016/12/1,2016/12/20
HFN 623,2016/12/1,2016/12/9
FFC 468,2016/12/1,2016/12/4
TRW 912,2016/12/1,2016/12/6
ZCJ 287,2016/12/1,2016/12/13
PVH 322,2016/12/1,2016/12/5
FTS 615,2016/12/1,2016/12/5
BHD 685,2016/12/1,2016/12/21
CXR 189,2016/12/1,2016/12/25
ATT 858,2016/12/1,2016/12/16
NGR 445,2016/12/1,2017/1/3
ASD 557,2016/12/1,
JCC 351,2016/12/1,2017/1/4
FEN 383,2016/12/1,2016/12/8
ANA 681,2016/12/1,2017/1/9
EEB 289,2016/12/1,2017/1/19
GPK 479,2016/12/1,2016/12/6
PJC 394,2016/12/1,2017/1/3
MXL 969,2016/12/1,2016/12/16
GMC 395,2016/12/1,2016/12/24
EEZ 287,2016/12/1,
LLZ 496,2016/12/1,2017/1/1
MGP 951,2016/12/1,2017/1/5
GCC 288,2016/12/1,
YXA 745,2016/12/1,2017/1/17
JKL 298,2016/12/1,2016/12/22
XGV 695,2016/12/1,
MPW 763,2016/12/1,2016/12/9
XXM 158,2016/12/1,
HWM 156,2016/12/1,2016/12/22
SJH 619,2016/12/1,2016/12/9
BWF 863,2016/12/1,
GWF 144,2016/12/1,2016/12/10
YTG 197,2016/12/1,2017/1/2
DKZ 396,2016/12/1,2017/1/1
TDZ 765,2016/12/1,
PLT 734,2016/12/1,2016/12/5
DHP 371,2016/12/1,2016/12/19
EGR 339,2016/12/1,2016/12/5
EHG 245,2016/12/1,2016/12/19
JEK 519,2016/12/1,2017/1/2
HRB 694,2016/12/1,2016/12/13
TPL 392,2016/12/1,2017/1/10
JBM 918,2016/12/1,2017/1/15
ZFX 568,2016/12/1,2016/12/16
RWX 685,2016/12/1,2017/1/5
CSK 811,2016/12/1,2016/12/25
JTD 947,2016/12/1,2017/1/6
TKR 757,2016/12/1,2017/1/18
GER 132,2016/12/1,2017/1/11
HSW 441,2016/12/1,2017/1/3
TPB 974,2016/12/1,2017/1/12
CKW 589,2016/12/1,2016/12/17
SML 744,2016/12/1,
XER 794,2016/12/1,2016/12/1
TTA 871,2016/12/1,2016/12/10
JTY 844,2016/12/1,2016/12/8
HLR 969,2016/12/1,2016/12/30
PXZ 572,2016/12/1,2016/12/2
KDS 195,2016/12/1,2017/1/3
HMJ 652,2016/12/1,2017/1/10
BGH 461,2016/12/1,2016/12/2
DSG 817,2016/12/1,2016/12/14
SCJ 271,2016/12/1,2016/12/19
VAP 259,2016/12/1,2017/1/9
CLL 486,2016/12/1,2016/12/7
DWY 328,2016/12/1,2016/12/29
FDX 486,2016/12/1,2017/1/11
YKP 659,2016/12/1,
XXR 638,2016/12/1,
ZBB 821,2016/12/1,2017/1/7
LZX 314,2016/12/1,2017/1/1
RLL 415,2016/12/1,2017/1/11
LTJ 329,2016/12/1,2016/12/21
TVJ 769,2016/12/1,2017/1/9
SRD 511,2016/12/1,2016/12/5
FEY 741,2016/12/1,2016/12/4
FWJ 475,2016/12/1,2017/1/6
NLN 319,2016/12/1,2017/1/15
SSR 443,2016/12/1,2016/12/10
RXB 117,2016/12/1,2016/12/2
TYL 764,2016/12/1,2016/12/6
YRZ 558,2016/12/1,2016/12/24
GFA 747,2016/12/1,2016/12/5
PZV 847,2016/12/1,2016/12/22
LYM 142,2016/12/1,2016/12/6
NKK 746,2016/12/1,2017/1/14
KSS 864,2016/12/1,
WNC 663,2016/12/1,
ECB 634,2016/12/1,
CSC 134,2016/12/1,2016/12/30
CZJ 716,2016/12/1,
TLG 815,2016/12/1,2017/1/8
PFL 363,2016/12/1,
VPS 932,2016/12/1,2017/1/7
ZDL 692,2016/12/1,2016/12/10
WYW 811,2016/12/1,2016/12/3
YVJ 184,2016/12/1,2016/12/20
LHX 494,2016/12/1,2017/1/13
SWX 912,2016/12/1,2016/12/21
AXK 656,2016/12/1,2017/1/18
NCZ 587,2016/12/1,2016/12/29
TRC 628,2016/12/1,2017/1/5
BGC 322,2016/12/1,2016/12/29
JXA 997,2016/12/1,2016/12/17
HEV 844,2016/12/1,
FFD 418,2016/12/1,2016/12/16
