cameraid,vehicleregistration,speed,speedlimit,locationlatitude,locationlongitude,time
Camera 27,P33,2,50,51.7176609518381,0.326906892997577,2017-08-30T17:00:00.0853966Z
Camera 43,J66,94,30,51.2233268041761,-0.427825092307253,2017-08-30T17:00:00.3973623Z
Camera 5,V44,23,70,51.5724160145348,-0.548802058902255,2017-08-30T16:59:59.3213754Z
Camera 45,X56,15,50,51.4964912206909,0.129299561418881,2017-08-30T17:00:00.5754069Z
Camera 43,A84,86,30,51.2233268041761,-0.427825092307253,2017-08-30T17:00:00.2953609Z
Camera 15,F17,19,50,51.3135642742163,0.121649782375957,2017-08-30T17:00:00.7363969Z
Camera 6,A15,14,20,51.6071419506756,-0.189048482556971,2017-08-30T17:00:00.7143600Z
Camera 7,N80,4,30,51.3574101360434,-0.331879212122002,2017-08-30T17:00:00.4453917Z
Camera 17,D85,4,70,51.6968471052884,-0.0339673934974359,2017-08-30T17:00:00.7503620Z
Camera 18,P53,56,20,51.655882654568,-0.543575567909062,2017-08-30T17:00:00.8443592Z
Camera 38,K60,83,40,51.3485423636571,0.131531654242637,2017-08-30T16:59:59.6353605Z
Camera 42,L24,4,20,51.2852651665362,-0.535959605472034,2017-08-30T16:59:59.6593639Z
Camera 5,V48,20,70,51.5724160145348,-0.548802058902255,2017-08-30T17:00:00.9184244Z
Camera 25,S40,2,30,51.518425959777,-0.400272391277868,2017-08-30T16:59:59.8023618Z
Camera 31,W10,97,30,51.516913883196,0.174217979682664,2017-08-30T17:00:00.7143600Z
Camera 9,Z43,11,50,51.4243959437404,-0.0286479029013365,2017-08-30T17:00:01.1093640Z
Camera 34,V55,2,60,51.4544967464661,0.0636478516468955,2017-08-30T17:00:00.8123606Z
Camera 29,T84,25,70,51.2337321428303,0.203791193699911,2017-08-30T17:00:01.1493592Z
Camera 48,T21,20,20,51.707702178406,-0.406872000734115,2017-08-30T17:00:00.0763939Z
Camera 32,N44,1,40,51.5128882949506,0.280805414414067,2017-08-30T17:00:01.0953923Z
