cameraid,vehicleregistration,speed,speedlimit,locationlatitude,locationlongitude,time
Camera 22,R80,20,60,51.2808709704299,-0.349814077345518,2017-08-30T17:59:59.2386744Z
Camera 20,P51,0,40,51.3172513248692,-0.0620099612516122,2017-08-30T18:00:00.3949190Z
Camera 6,J48,20,20,51.6071419506756,-0.189048482556971,2017-08-30T18:00:00.4731854Z
Camera 42,S64,97,20,51.2852651665362,-0.535959605472034,2017-08-30T18:00:00.1605461Z
Camera 22,X71,14,60,51.2808709704299,-0.349814077345518,2017-08-30T17:59:59.3324368Z
Camera 17,D11,67,70,51.6968471052884,-0.0339673934974359,2017-08-30T18:00:00.5199194Z
Camera 44,N10,15,40,51.3542435046906,0.291285509025635,2017-08-30T18:00:00.3011864Z
Camera 24,E33,6,20,51.5465129639504,-0.1937376746493,2017-08-30T17:59:59.4936585Z
Camera 36,N30,20,20,51.680859282378,0.0148869331698217,2017-08-30T18:00:00.4731854Z
Camera 49,L15,4,30,51.4660728652435,-0.38382768819702,2017-08-30T18:00:00.8480434Z
Camera 22,Z70,17,60,51.2808709704299,-0.349814077345518,2017-08-30T18:00:00.9574231Z
Camera 44,A52,16,40,51.3542435046906,0.291285509025635,2017-08-30T18:00:00.9105432Z
Camera 47,A45,13,70,51.5803371476854,0.23584554070272,2017-08-30T17:59:59.8480858Z
Camera 0,Y43,25,20,51.3363706789483,0.228715979043229,2017-08-30T18:00:01.0042645Z
Camera 26,G43,8,40,51.5939539796656,-0.299903785865331,2017-08-30T18:00:00.7387102Z
Camera 30,C97,20,20,51.2422977904381,-0.275791971104562,2017-08-30T18:00:01.1136541Z
Camera 23,P98,72,70,51.2884340682226,0.0107327492375126,2017-08-30T17:59:59.9573800Z
Camera 4,H11,20,60,51.497349752867,0.137551719111167,2017-08-30T17:59:59.9886730Z
Camera 45,J97,4,50,51.4964912206909,0.129299561418881,2017-08-30T18:00:00.9105432Z
Camera 43,A36,20,30,51.2233268041761,-0.427825092307253,2017-08-30T18:00:01.1918351Z
