Vehicle Registration,LicensedFrom,LicensedTo
A91,01/12/2010 00:00:00,30/11/2010 00:00:00
A92,01/12/2010 00:00:00,30/11/2010 00:00:00
A93,01/12/2010 00:00:00,30/11/2010 00:00:00
A94,01/12/2010 00:00:00,30/11/2010 00:00:00
A95,01/12/2010 00:00:00,30/11/2010 00:00:00
A96,01/12/2010 00:00:00,30/11/2010 00:00:00
A97,01/12/2010 00:00:00,30/11/2010 00:00:00
A98,01/12/2010 00:00:00,30/11/2010 00:00:00
A99,01/12/2010 00:00:00,30/11/2010 00:00:00
B91,01/12/2010 00:00:00,30/11/2010 00:00:00
B92,01/12/2010 00:00:00,30/11/2010 00:00:00
B93,01/12/2010 00:00:00,30/11/2010 00:00:00
B94,01/12/2010 00:00:00,30/11/2010 00:00:00
B95,01/12/2010 00:00:00,30/11/2010 00:00:00
B96,01/12/2010 00:00:00,30/11/2010 00:00:00
B97,01/12/2010 00:00:00,30/11/2010 00:00:00
B98,01/12/2010 00:00:00,30/11/2010 00:00:00
B99,01/12/2010 00:00:00,30/11/2010 00:00:00
C91,01/12/2010 00:00:00,30/11/2010 00:00:00
C92,01/12/2010 00:00:00,30/11/2010 00:00:00
C93,01/12/2010 00:00:00,30/11/2010 00:00:00
C94,01/12/2010 00:00:00,30/11/2010 00:00:00
C95,01/12/2010 00:00:00,30/11/2010 00:00:00
C96,01/12/2010 00:00:00,30/11/2010 00:00:00
C97,01/12/2010 00:00:00,30/11/2010 00:00:00
C98,01/12/2010 00:00:00,30/11/2010 00:00:00
C99,01/12/2010 00:00:00,30/11/2010 00:00:00
D91,01/12/2010 00:00:00,30/11/2010 00:00:00
D92,01/12/2010 00:00:00,30/11/2010 00:00:00
D93,01/12/2010 00:00:00,30/11/2010 00:00:00
D94,01/12/2010 00:00:00,30/11/2010 00:00:00
D95,01/12/2010 00:00:00,30/11/2010 00:00:00
D96,01/12/2010 00:00:00,30/11/2010 00:00:00
D97,01/12/2010 00:00:00,30/11/2010 00:00:00
D98,01/12/2010 00:00:00,30/11/2010 00:00:00
D99,01/12/2010 00:00:00,30/11/2010 00:00:00
E91,01/12/2010 00:00:00,30/11/2010 00:00:00
E92,01/12/2010 00:00:00,30/11/2010 00:00:00
E93,01/12/2010 00:00:00,30/11/2010 00:00:00
E94,01/12/2010 00:00:00,30/11/2010 00:00:00
E95,01/12/2010 00:00:00,30/11/2010 00:00:00
E96,01/12/2010 00:00:00,30/11/2010 00:00:00
E97,01/12/2010 00:00:00,30/11/2010 00:00:00
E98,01/12/2010 00:00:00,30/11/2010 00:00:00
E99,01/12/2010 00:00:00,30/11/2010 00:00:00
F91,01/12/2010 00:00:00,30/11/2010 00:00:00
F92,01/12/2010 00:00:00,30/11/2010 00:00:00
F93,01/12/2010 00:00:00,30/11/2010 00:00:00
F94,01/12/2010 00:00:00,30/11/2010 00:00:00
F95,01/12/2010 00:00:00,30/11/2010 00:00:00
F96,01/12/2010 00:00:00,30/11/2010 00:00:00
F97,01/12/2010 00:00:00,30/11/2010 00:00:00
F98,01/12/2010 00:00:00,30/11/2010 00:00:00
F99,01/12/2010 00:00:00,30/11/2010 00:00:00
G91,01/12/2010 00:00:00,30/11/2010 00:00:00
G92,01/12/2010 00:00:00,30/11/2010 00:00:00
G93,01/12/2010 00:00:00,30/11/2010 00:00:00
G94,01/12/2010 00:00:00,30/11/2010 00:00:00
G95,01/12/2010 00:00:00,30/11/2010 00:00:00
G96,01/12/2010 00:00:00,30/11/2010 00:00:00
G97,01/12/2010 00:00:00,30/11/2010 00:00:00
G98,01/12/2010 00:00:00,30/11/2010 00:00:00
G99,01/12/2010 00:00:00,30/11/2010 00:00:00
H91,01/12/2010 00:00:00,30/11/2010 00:00:00
H92,01/12/2010 00:00:00,30/11/2010 00:00:00
H93,01/12/2010 00:00:00,30/11/2010 00:00:00
H94,01/12/2010 00:00:00,30/11/2010 00:00:00
H95,01/12/2010 00:00:00,30/11/2010 00:00:00
H96,01/12/2010 00:00:00,30/11/2010 00:00:00
H97,01/12/2010 00:00:00,30/11/2010 00:00:00
H98,01/12/2010 00:00:00,30/11/2010 00:00:00
H99,01/12/2010 00:00:00,30/11/2010 00:00:00
J91,01/12/2010 00:00:00,30/11/2010 00:00:00
J92,01/12/2010 00:00:00,30/11/2010 00:00:00
J93,01/12/2010 00:00:00,30/11/2010 00:00:00
J94,01/12/2010 00:00:00,30/11/2010 00:00:00
J95,01/12/2010 00:00:00,30/11/2010 00:00:00
J96,01/12/2010 00:00:00,30/11/2010 00:00:00
J97,01/12/2010 00:00:00,30/11/2010 00:00:00
J98,01/12/2010 00:00:00,30/11/2010 00:00:00
J99,01/12/2010 00:00:00,30/11/2010 00:00:00
K91,01/12/2010 00:00:00,30/11/2010 00:00:00
K92,01/12/2010 00:00:00,30/11/2010 00:00:00
K93,01/12/2010 00:00:00,30/11/2010 00:00:00
K94,01/12/2010 00:00:00,30/11/2010 00:00:00
K95,01/12/2010 00:00:00,30/11/2010 00:00:00
K96,01/12/2010 00:00:00,30/11/2010 00:00:00
K97,01/12/2010 00:00:00,30/11/2010 00:00:00
K98,01/12/2010 00:00:00,30/11/2010 00:00:00
K99,01/12/2010 00:00:00,30/11/2010 00:00:00
L91,01/12/2010 00:00:00,30/11/2010 00:00:00
L92,01/12/2010 00:00:00,30/11/2010 00:00:00
L93,01/12/2010 00:00:00,30/11/2010 00:00:00
L94,01/12/2010 00:00:00,30/11/2010 00:00:00
L95,01/12/2010 00:00:00,30/11/2010 00:00:00
L96,01/12/2010 00:00:00,30/11/2010 00:00:00
L97,01/12/2010 00:00:00,30/11/2010 00:00:00
L98,01/12/2010 00:00:00,30/11/2010 00:00:00
L99,01/12/2010 00:00:00,30/11/2010 00:00:00
M91,01/12/2010 00:00:00,30/11/2010 00:00:00
M92,01/12/2010 00:00:00,30/11/2010 00:00:00
M93,01/12/2010 00:00:00,30/11/2010 00:00:00
M94,01/12/2010 00:00:00,30/11/2010 00:00:00
M95,01/12/2010 00:00:00,30/11/2010 00:00:00
M96,01/12/2010 00:00:00,30/11/2010 00:00:00
M97,01/12/2010 00:00:00,30/11/2010 00:00:00
M98,01/12/2010 00:00:00,30/11/2010 00:00:00
M99,01/12/2010 00:00:00,30/11/2010 00:00:00
N91,01/12/2010 00:00:00,30/11/2010 00:00:00
N92,01/12/2010 00:00:00,30/11/2010 00:00:00
N93,01/12/2010 00:00:00,30/11/2010 00:00:00
N94,01/12/2010 00:00:00,30/11/2010 00:00:00
N95,01/12/2010 00:00:00,30/11/2010 00:00:00
N96,01/12/2010 00:00:00,30/11/2010 00:00:00
N97,01/12/2010 00:00:00,30/11/2010 00:00:00
N98,01/12/2010 00:00:00,30/11/2010 00:00:00
N99,01/12/2010 00:00:00,30/11/2010 00:00:00
P91,01/12/2010 00:00:00,30/11/2010 00:00:00
P92,01/12/2010 00:00:00,30/11/2010 00:00:00
P93,01/12/2010 00:00:00,30/11/2010 00:00:00
P94,01/12/2010 00:00:00,30/11/2010 00:00:00
P95,01/12/2010 00:00:00,30/11/2010 00:00:00
P96,01/12/2010 00:00:00,30/11/2010 00:00:00
P97,01/12/2010 00:00:00,30/11/2010 00:00:00
P98,01/12/2010 00:00:00,30/11/2010 00:00:00
P99,01/12/2010 00:00:00,30/11/2010 00:00:00
R91,01/12/2010 00:00:00,30/11/2010 00:00:00
R92,01/12/2010 00:00:00,30/11/2010 00:00:00
R93,01/12/2010 00:00:00,30/11/2010 00:00:00
R94,01/12/2010 00:00:00,30/11/2010 00:00:00
R95,01/12/2010 00:00:00,30/11/2010 00:00:00
R96,01/12/2010 00:00:00,30/11/2010 00:00:00
R97,01/12/2010 00:00:00,30/11/2010 00:00:00
R98,01/12/2010 00:00:00,30/11/2010 00:00:00
R99,01/12/2010 00:00:00,30/11/2010 00:00:00
S91,01/12/2010 00:00:00,30/11/2010 00:00:00
S92,01/12/2010 00:00:00,30/11/2010 00:00:00
S93,01/12/2010 00:00:00,30/11/2010 00:00:00
S94,01/12/2010 00:00:00,30/11/2010 00:00:00
S95,01/12/2010 00:00:00,30/11/2010 00:00:00
S96,01/12/2010 00:00:00,30/11/2010 00:00:00
S97,01/12/2010 00:00:00,30/11/2010 00:00:00
S98,01/12/2010 00:00:00,30/11/2010 00:00:00
S99,01/12/2010 00:00:00,30/11/2010 00:00:00
T91,01/12/2010 00:00:00,30/11/2010 00:00:00
T92,01/12/2010 00:00:00,30/11/2010 00:00:00
T93,01/12/2010 00:00:00,30/11/2010 00:00:00
T94,01/12/2010 00:00:00,30/11/2010 00:00:00
T95,01/12/2010 00:00:00,30/11/2010 00:00:00
T96,01/12/2010 00:00:00,30/11/2010 00:00:00
T97,01/12/2010 00:00:00,30/11/2010 00:00:00
T98,01/12/2010 00:00:00,30/11/2010 00:00:00
T99,01/12/2010 00:00:00,30/11/2010 00:00:00
V91,01/12/2010 00:00:00,30/11/2010 00:00:00
V92,01/12/2010 00:00:00,30/11/2010 00:00:00
V93,01/12/2010 00:00:00,30/11/2010 00:00:00
V94,01/12/2010 00:00:00,30/11/2010 00:00:00
V95,01/12/2010 00:00:00,30/11/2010 00:00:00
V96,01/12/2010 00:00:00,30/11/2010 00:00:00
V97,01/12/2010 00:00:00,30/11/2010 00:00:00
V98,01/12/2010 00:00:00,30/11/2010 00:00:00
V99,01/12/2010 00:00:00,30/11/2010 00:00:00
W91,01/12/2010 00:00:00,30/11/2010 00:00:00
W92,01/12/2010 00:00:00,30/11/2010 00:00:00
W93,01/12/2010 00:00:00,30/11/2010 00:00:00
W94,01/12/2010 00:00:00,30/11/2010 00:00:00
W95,01/12/2010 00:00:00,30/11/2010 00:00:00
W96,01/12/2010 00:00:00,30/11/2010 00:00:00
W97,01/12/2010 00:00:00,30/11/2010 00:00:00
W98,01/12/2010 00:00:00,30/11/2010 00:00:00
W99,01/12/2010 00:00:00,30/11/2010 00:00:00
X91,01/12/2010 00:00:00,30/11/2010 00:00:00
X92,01/12/2010 00:00:00,30/11/2010 00:00:00
X93,01/12/2010 00:00:00,30/11/2010 00:00:00
X94,01/12/2010 00:00:00,30/11/2010 00:00:00
X95,01/12/2010 00:00:00,30/11/2010 00:00:00
X96,01/12/2010 00:00:00,30/11/2010 00:00:00
X97,01/12/2010 00:00:00,30/11/2010 00:00:00
