Vehicle Registration,LicensedFrom,LicensedTo
A41,01/05/2011 00:00:00,30/04/2011 00:00:00
A42,01/05/2011 00:00:00,30/04/2011 00:00:00
A43,01/05/2011 00:00:00,30/04/2011 00:00:00
A44,01/05/2011 00:00:00,30/04/2011 00:00:00
A45,01/05/2011 00:00:00,30/04/2011 00:00:00
A46,01/05/2011 00:00:00,30/04/2011 00:00:00
A47,01/05/2011 00:00:00,30/04/2011 00:00:00
A48,01/05/2011 00:00:00,30/04/2011 00:00:00
A49,01/05/2011 00:00:00,30/04/2011 00:00:00
B41,01/05/2011 00:00:00,30/04/2011 00:00:00
B42,01/05/2011 00:00:00,30/04/2011 00:00:00
B43,01/05/2011 00:00:00,30/04/2011 00:00:00
B44,01/05/2011 00:00:00,30/04/2011 00:00:00
B45,01/05/2011 00:00:00,30/04/2011 00:00:00
B46,01/05/2011 00:00:00,30/04/2011 00:00:00
B47,01/05/2011 00:00:00,30/04/2011 00:00:00
B48,01/05/2011 00:00:00,30/04/2011 00:00:00
B49,01/05/2011 00:00:00,30/04/2011 00:00:00
C41,01/05/2011 00:00:00,30/04/2011 00:00:00
C42,01/05/2011 00:00:00,30/04/2011 00:00:00
C43,01/05/2011 00:00:00,30/04/2011 00:00:00
C44,01/05/2011 00:00:00,30/04/2011 00:00:00
C45,01/05/2011 00:00:00,30/04/2011 00:00:00
C46,01/05/2011 00:00:00,30/04/2011 00:00:00
C47,01/05/2011 00:00:00,30/04/2011 00:00:00
C48,01/05/2011 00:00:00,30/04/2011 00:00:00
C49,01/05/2011 00:00:00,30/04/2011 00:00:00
D41,01/05/2011 00:00:00,30/04/2011 00:00:00
D42,01/05/2011 00:00:00,30/04/2011 00:00:00
D43,01/05/2011 00:00:00,30/04/2011 00:00:00
D44,01/05/2011 00:00:00,30/04/2011 00:00:00
D45,01/05/2011 00:00:00,30/04/2011 00:00:00
D46,01/05/2011 00:00:00,30/04/2011 00:00:00
D47,01/05/2011 00:00:00,30/04/2011 00:00:00
D48,01/05/2011 00:00:00,30/04/2011 00:00:00
D49,01/05/2011 00:00:00,30/04/2011 00:00:00
E41,01/05/2011 00:00:00,30/04/2011 00:00:00
E42,01/05/2011 00:00:00,30/04/2011 00:00:00
E43,01/05/2011 00:00:00,30/04/2011 00:00:00
E44,01/05/2011 00:00:00,30/04/2011 00:00:00
E45,01/05/2011 00:00:00,30/04/2011 00:00:00
E46,01/05/2011 00:00:00,30/04/2011 00:00:00
E47,01/05/2011 00:00:00,30/04/2011 00:00:00
E48,01/05/2011 00:00:00,30/04/2011 00:00:00
E49,01/05/2011 00:00:00,30/04/2011 00:00:00
F41,01/05/2011 00:00:00,30/04/2011 00:00:00
F42,01/05/2011 00:00:00,30/04/2011 00:00:00
F43,01/05/2011 00:00:00,30/04/2011 00:00:00
F44,01/05/2011 00:00:00,30/04/2011 00:00:00
F45,01/05/2011 00:00:00,30/04/2011 00:00:00
F46,01/05/2011 00:00:00,30/04/2011 00:00:00
F47,01/05/2011 00:00:00,30/04/2011 00:00:00
F48,01/05/2011 00:00:00,30/04/2011 00:00:00
F49,01/05/2011 00:00:00,30/04/2011 00:00:00
G41,01/05/2011 00:00:00,30/04/2011 00:00:00
G42,01/05/2011 00:00:00,30/04/2011 00:00:00
G43,01/05/2011 00:00:00,30/04/2011 00:00:00
G44,01/05/2011 00:00:00,30/04/2011 00:00:00
G45,01/05/2011 00:00:00,30/04/2011 00:00:00
G46,01/05/2011 00:00:00,30/04/2011 00:00:00
G47,01/05/2011 00:00:00,30/04/2011 00:00:00
G48,01/05/2011 00:00:00,30/04/2011 00:00:00
G49,01/05/2011 00:00:00,30/04/2011 00:00:00
H41,01/05/2011 00:00:00,30/04/2011 00:00:00
H42,01/05/2011 00:00:00,30/04/2011 00:00:00
H43,01/05/2011 00:00:00,30/04/2011 00:00:00
H44,01/05/2011 00:00:00,30/04/2011 00:00:00
H45,01/05/2011 00:00:00,30/04/2011 00:00:00
H46,01/05/2011 00:00:00,30/04/2011 00:00:00
H47,01/05/2011 00:00:00,30/04/2011 00:00:00
H48,01/05/2011 00:00:00,30/04/2011 00:00:00
H49,01/05/2011 00:00:00,30/04/2011 00:00:00
J41,01/05/2011 00:00:00,30/04/2011 00:00:00
J42,01/05/2011 00:00:00,30/04/2011 00:00:00
J43,01/05/2011 00:00:00,30/04/2011 00:00:00
J44,01/05/2011 00:00:00,30/04/2011 00:00:00
J45,01/05/2011 00:00:00,30/04/2011 00:00:00
J46,01/05/2011 00:00:00,30/04/2011 00:00:00
J47,01/05/2011 00:00:00,30/04/2011 00:00:00
J48,01/05/2011 00:00:00,30/04/2011 00:00:00
J49,01/05/2011 00:00:00,30/04/2011 00:00:00
K41,01/05/2011 00:00:00,30/04/2011 00:00:00
K42,01/05/2011 00:00:00,30/04/2011 00:00:00
K43,01/05/2011 00:00:00,30/04/2011 00:00:00
K44,01/05/2011 00:00:00,30/04/2011 00:00:00
K45,01/05/2011 00:00:00,30/04/2011 00:00:00
K46,01/05/2011 00:00:00,30/04/2011 00:00:00
K47,01/05/2011 00:00:00,30/04/2011 00:00:00
K48,01/05/2011 00:00:00,30/04/2011 00:00:00
K49,01/05/2011 00:00:00,30/04/2011 00:00:00
L41,01/05/2011 00:00:00,30/04/2011 00:00:00
L42,01/05/2011 00:00:00,30/04/2011 00:00:00
L43,01/05/2011 00:00:00,30/04/2011 00:00:00
L44,01/05/2011 00:00:00,30/04/2011 00:00:00
L45,01/05/2011 00:00:00,30/04/2011 00:00:00
L46,01/05/2011 00:00:00,30/04/2011 00:00:00
L47,01/05/2011 00:00:00,30/04/2011 00:00:00
L48,01/05/2011 00:00:00,30/04/2011 00:00:00
L49,01/05/2011 00:00:00,30/04/2011 00:00:00
M41,01/05/2011 00:00:00,30/04/2011 00:00:00
M42,01/05/2011 00:00:00,30/04/2011 00:00:00
M43,01/05/2011 00:00:00,30/04/2011 00:00:00
M44,01/05/2011 00:00:00,30/04/2011 00:00:00
M45,01/05/2011 00:00:00,30/04/2011 00:00:00
M46,01/05/2011 00:00:00,30/04/2011 00:00:00
M47,01/05/2011 00:00:00,30/04/2011 00:00:00
M48,01/05/2011 00:00:00,30/04/2011 00:00:00
M49,01/05/2011 00:00:00,30/04/2011 00:00:00
N41,01/05/2011 00:00:00,30/04/2011 00:00:00
