Vehicle Registration,Date Stolen,Date Recovered
CDN 928,2011/8/6,2011/8/11
GSS 727,2011/8/6,2011/9/10
XDR 774,2011/8/6,
WYX 816,2011/8/6,2011/8/19
HTG 646,2011/8/6,2011/9/13
LNF 339,2011/8/6,2011/9/11
SEV 633,2011/8/6,2011/8/26
XKC 293,2011/8/6,2011/8/19
KKJ 541,2011/8/6,2011/8/8
JXF 221,2011/8/6,2011/9/17
EYC 887,2011/8/6,
HNT 955,2011/8/6,
GPV 853,2011/8/6,2011/9/1
DMD 413,2011/8/6,2011/9/4
NDA 124,2011/8/6,2011/9/12
KHC 841,2011/8/6,2011/9/12
CCX 531,2011/8/6,2011/8/28
JLT 456,2011/8/6,
ZYK 457,2011/8/6,2011/9/24
XBK 226,2011/8/6,
THF 931,2011/8/6,2011/9/2
SBS 764,2011/8/6,2011/8/15
JAX 464,2011/8/6,2011/8/20
CZR 263,2011/8/6,2011/9/13
ERP 241,2011/8/6,2011/9/13
JXP 513,2011/8/6,2011/8/19
XNT 178,2011/8/6,2011/8/29
AWX 444,2011/8/6,2011/9/23
GZL 979,2011/8/6,2011/8/30
GZA 778,2011/8/6,2011/8/26
SDF 157,2011/8/6,2011/9/23
EFE 524,2011/8/6,2011/8/31
XED 183,2011/8/6,2011/9/11
BJW 787,2011/8/6,
KBP 329,2011/8/6,2011/9/18
ZDV 589,2011/8/6,2011/8/16
LBW 664,2011/8/6,2011/9/22
KHY 282,2011/8/6,2011/8/29
RZB 183,2011/8/6,2011/9/18
HMB 653,2011/8/6,
DZG 881,2011/8/6,
CDV 717,2011/8/6,2011/9/13
SHW 892,2011/8/6,2011/8/9
DXE 233,2011/8/6,
EWZ 897,2011/8/6,2011/9/5
LZY 651,2011/8/6,2011/9/22
TGY 244,2011/8/6,
XBP 984,2011/8/6,2011/9/14
DPN 279,2011/8/6,
SDG 925,2011/8/6,
YNH 148,2011/8/6,2011/9/13
SYA 816,2011/8/6,
DCK 858,2011/8/6,2011/9/22
KYJ 312,2011/8/6,2011/9/17
HNB 317,2011/8/6,2011/8/28
WSL 799,2011/8/6,
HFV 119,2011/8/6,
PLN 455,2011/8/6,2011/9/14
BNL 566,2011/8/6,2011/8/6
SCZ 832,2011/8/6,2011/9/24
ZGY 848,2011/8/6,2011/8/27
AYR 621,2011/8/6,2011/9/17
YYR 354,2011/8/6,2011/8/31
FJJ 897,2011/8/6,2011/9/15
LDK 261,2011/8/6,2011/8/12
DAM 794,2011/8/6,2011/8/18
GRX 456,2011/8/6,2011/9/22
VEN 145,2011/8/6,2011/9/2
CEB 167,2011/8/6,2011/9/10
VJD 598,2011/8/6,2011/9/13
CSP 284,2011/8/6,2011/9/22
EWH 452,2011/8/6,2011/9/18
LEN 742,2011/8/6,2011/8/11
ZZN 155,2011/8/6,2011/9/10
KTX 794,2011/8/6,2011/8/31
FFW 743,2011/8/6,2011/8/29
MNZ 731,2011/8/6,2011/8/27
NAF 888,2011/8/6,2011/8/23
DJA 732,2011/8/6,
RXM 244,2011/8/6,2011/8/16
MXP 959,2011/8/6,2011/9/10
GZD 917,2011/8/6,2011/9/16
XCN 937,2011/8/6,2011/8/28
XWA 453,2011/8/6,2011/9/1
WNH 934,2011/8/6,
RPJ 398,2011/8/6,
ACF 382,2011/8/6,2011/8/24
KFA 793,2011/8/6,
KYB 548,2011/8/6,2011/8/14
YKG 742,2011/8/6,
TAH 413,2011/8/6,2011/8/26
ENM 945,2011/8/6,2011/8/15
SJW 175,2011/8/6,
ZWH 497,2011/8/6,2011/8/27
XXY 995,2011/8/6,
MKG 842,2011/8/6,2011/8/6
FYZ 943,2011/8/6,2011/8/25
JDK 291,2011/8/6,2011/9/10
CFC 563,2011/8/6,2011/8/25
KRM 338,2011/8/6,2011/9/16
WXC 975,2011/8/6,2011/9/21
LSN 817,2011/8/6,2011/8/17
STR 115,2011/8/6,
NTM 681,2011/8/6,2011/9/24
HPJ 197,2011/8/6,2011/9/16
