Vehicle Registration,LicensedFrom,LicensedTo
A22,01/03/2003 00:00:00,28/02/2003 00:00:00
A24,01/03/2003 00:00:00,28/02/2003 00:00:00
A26,01/03/2003 00:00:00,28/02/2003 00:00:00
A28,01/03/2003 00:00:00,28/02/2003 00:00:00
B22,01/03/2003 00:00:00,28/02/2003 00:00:00
B24,01/03/2003 00:00:00,28/02/2003 00:00:00
B26,01/03/2003 00:00:00,28/02/2003 00:00:00
B28,01/03/2003 00:00:00,28/02/2003 00:00:00
C22,01/03/2003 00:00:00,28/02/2003 00:00:00
C24,01/03/2003 00:00:00,28/02/2003 00:00:00
C26,01/03/2003 00:00:00,28/02/2003 00:00:00
C28,01/03/2003 00:00:00,28/02/2003 00:00:00
D22,01/03/2003 00:00:00,28/02/2003 00:00:00
D24,01/03/2003 00:00:00,28/02/2003 00:00:00
D26,01/03/2003 00:00:00,28/02/2003 00:00:00
D28,01/03/2003 00:00:00,28/02/2003 00:00:00
E22,01/03/2003 00:00:00,28/02/2003 00:00:00
E24,01/03/2003 00:00:00,28/02/2003 00:00:00
E26,01/03/2003 00:00:00,28/02/2003 00:00:00
E28,01/03/2003 00:00:00,28/02/2003 00:00:00
F22,01/03/2003 00:00:00,28/02/2003 00:00:00
F24,01/03/2003 00:00:00,28/02/2003 00:00:00
F26,01/03/2003 00:00:00,28/02/2003 00:00:00
F28,01/03/2003 00:00:00,28/02/2003 00:00:00
G22,01/03/2003 00:00:00,28/02/2003 00:00:00
G24,01/03/2003 00:00:00,28/02/2003 00:00:00
G26,01/03/2003 00:00:00,28/02/2003 00:00:00
G28,01/03/2003 00:00:00,28/02/2003 00:00:00
H22,01/03/2003 00:00:00,28/02/2003 00:00:00
H24,01/03/2003 00:00:00,28/02/2003 00:00:00
H26,01/03/2003 00:00:00,28/02/2003 00:00:00
H28,01/03/2003 00:00:00,28/02/2003 00:00:00
J22,01/03/2003 00:00:00,28/02/2003 00:00:00
J24,01/03/2003 00:00:00,28/02/2003 00:00:00
J26,01/03/2003 00:00:00,28/02/2003 00:00:00
J28,01/03/2003 00:00:00,28/02/2003 00:00:00
K22,01/03/2003 00:00:00,28/02/2003 00:00:00
K24,01/03/2003 00:00:00,28/02/2003 00:00:00
K26,01/03/2003 00:00:00,28/02/2003 00:00:00
K28,01/03/2003 00:00:00,28/02/2003 00:00:00
L22,01/03/2003 00:00:00,28/02/2003 00:00:00
L24,01/03/2003 00:00:00,28/02/2003 00:00:00
L26,01/03/2003 00:00:00,28/02/2003 00:00:00
L28,01/03/2003 00:00:00,28/02/2003 00:00:00
M22,01/03/2003 00:00:00,28/02/2003 00:00:00
M24,01/03/2003 00:00:00,28/02/2003 00:00:00
M26,01/03/2003 00:00:00,28/02/2003 00:00:00
M28,01/03/2003 00:00:00,28/02/2003 00:00:00
N22,01/03/2003 00:00:00,28/02/2003 00:00:00
N24,01/03/2003 00:00:00,28/02/2003 00:00:00
N26,01/03/2003 00:00:00,28/02/2003 00:00:00
N28,01/03/2003 00:00:00,28/02/2003 00:00:00
P22,01/03/2003 00:00:00,28/02/2003 00:00:00
P24,01/03/2003 00:00:00,28/02/2003 00:00:00
P26,01/03/2003 00:00:00,28/02/2003 00:00:00
P28,01/03/2003 00:00:00,28/02/2003 00:00:00
R22,01/03/2003 00:00:00,28/02/2003 00:00:00
R24,01/03/2003 00:00:00,28/02/2003 00:00:00
R26,01/03/2003 00:00:00,28/02/2003 00:00:00
R28,01/03/2003 00:00:00,28/02/2003 00:00:00
S22,01/03/2003 00:00:00,28/02/2003 00:00:00
S24,01/03/2003 00:00:00,28/02/2003 00:00:00
S26,01/03/2003 00:00:00,28/02/2003 00:00:00
S28,01/03/2003 00:00:00,28/02/2003 00:00:00
T22,01/03/2003 00:00:00,28/02/2003 00:00:00
T24,01/03/2003 00:00:00,28/02/2003 00:00:00
T26,01/03/2003 00:00:00,28/02/2003 00:00:00
T28,01/03/2003 00:00:00,28/02/2003 00:00:00
V22,01/03/2003 00:00:00,28/02/2003 00:00:00
V24,01/03/2003 00:00:00,28/02/2003 00:00:00
V26,01/03/2003 00:00:00,28/02/2003 00:00:00
V28,01/03/2003 00:00:00,28/02/2003 00:00:00
W22,01/03/2003 00:00:00,28/02/2003 00:00:00
W24,01/03/2003 00:00:00,28/02/2003 00:00:00
W26,01/03/2003 00:00:00,28/02/2003 00:00:00
W28,01/03/2003 00:00:00,28/02/2003 00:00:00
X22,01/03/2003 00:00:00,28/02/2003 00:00:00
X24,01/03/2003 00:00:00,28/02/2003 00:00:00
X26,01/03/2003 00:00:00,28/02/2003 00:00:00
X28,01/03/2003 00:00:00,28/02/2003 00:00:00
Y22,01/03/2003 00:00:00,28/02/2003 00:00:00
Y24,01/03/2003 00:00:00,28/02/2003 00:00:00
Y26,01/03/2003 00:00:00,28/02/2003 00:00:00
Y28,01/03/2003 00:00:00,28/02/2003 00:00:00
Z22,01/03/2003 00:00:00,28/02/2003 00:00:00
Z24,01/03/2003 00:00:00,28/02/2003 00:00:00
Z26,01/03/2003 00:00:00,28/02/2003 00:00:00
Z28,01/03/2003 00:00:00,28/02/2003 00:00:00
