Vehicle Registration,LicensedFrom,LicensedTo
A31,01/04/2000 00:00:00,31/03/2000 00:00:00
A32,01/04/2000 00:00:00,31/03/2000 00:00:00
A33,01/04/2000 00:00:00,31/03/2000 00:00:00
A34,01/04/2000 00:00:00,31/03/2000 00:00:00
A35,01/04/2000 00:00:00,31/03/2000 00:00:00
A36,01/04/2000 00:00:00,31/03/2000 00:00:00
A37,01/04/2000 00:00:00,31/03/2000 00:00:00
A38,01/04/2000 00:00:00,31/03/2000 00:00:00
A39,01/04/2000 00:00:00,31/03/2000 00:00:00
B31,01/04/2000 00:00:00,31/03/2000 00:00:00
B32,01/04/2000 00:00:00,31/03/2000 00:00:00
B33,01/04/2000 00:00:00,31/03/2000 00:00:00
B34,01/04/2000 00:00:00,31/03/2000 00:00:00
B35,01/04/2000 00:00:00,31/03/2000 00:00:00
B36,01/04/2000 00:00:00,31/03/2000 00:00:00
B37,01/04/2000 00:00:00,31/03/2000 00:00:00
B38,01/04/2000 00:00:00,31/03/2000 00:00:00
B39,01/04/2000 00:00:00,31/03/2000 00:00:00
C31,01/04/2000 00:00:00,31/03/2000 00:00:00
C32,01/04/2000 00:00:00,31/03/2000 00:00:00
C33,01/04/2000 00:00:00,31/03/2000 00:00:00
C34,01/04/2000 00:00:00,31/03/2000 00:00:00
C35,01/04/2000 00:00:00,31/03/2000 00:00:00
C36,01/04/2000 00:00:00,31/03/2000 00:00:00
C37,01/04/2000 00:00:00,31/03/2000 00:00:00
C38,01/04/2000 00:00:00,31/03/2000 00:00:00
C39,01/04/2000 00:00:00,31/03/2000 00:00:00
D31,01/04/2000 00:00:00,31/03/2000 00:00:00
D32,01/04/2000 00:00:00,31/03/2000 00:00:00
D33,01/04/2000 00:00:00,31/03/2000 00:00:00
D34,01/04/2000 00:00:00,31/03/2000 00:00:00
D35,01/04/2000 00:00:00,31/03/2000 00:00:00
D36,01/04/2000 00:00:00,31/03/2000 00:00:00
D37,01/04/2000 00:00:00,31/03/2000 00:00:00
D38,01/04/2000 00:00:00,31/03/2000 00:00:00
D39,01/04/2000 00:00:00,31/03/2000 00:00:00
E31,01/04/2000 00:00:00,31/03/2000 00:00:00
E32,01/04/2000 00:00:00,31/03/2000 00:00:00
E33,01/04/2000 00:00:00,31/03/2000 00:00:00
E34,01/04/2000 00:00:00,31/03/2000 00:00:00
E35,01/04/2000 00:00:00,31/03/2000 00:00:00
E36,01/04/2000 00:00:00,31/03/2000 00:00:00
E37,01/04/2000 00:00:00,31/03/2000 00:00:00
E38,01/04/2000 00:00:00,31/03/2000 00:00:00
E39,01/04/2000 00:00:00,31/03/2000 00:00:00
F31,01/04/2000 00:00:00,31/03/2000 00:00:00
F32,01/04/2000 00:00:00,31/03/2000 00:00:00
F33,01/04/2000 00:00:00,31/03/2000 00:00:00
F34,01/04/2000 00:00:00,31/03/2000 00:00:00
F35,01/04/2000 00:00:00,31/03/2000 00:00:00
F36,01/04/2000 00:00:00,31/03/2000 00:00:00
F37,01/04/2000 00:00:00,31/03/2000 00:00:00
F38,01/04/2000 00:00:00,31/03/2000 00:00:00
F39,01/04/2000 00:00:00,31/03/2000 00:00:00
G31,01/04/2000 00:00:00,31/03/2000 00:00:00
G32,01/04/2000 00:00:00,31/03/2000 00:00:00
G33,01/04/2000 00:00:00,31/03/2000 00:00:00
G34,01/04/2000 00:00:00,31/03/2000 00:00:00
G35,01/04/2000 00:00:00,31/03/2000 00:00:00
G36,01/04/2000 00:00:00,31/03/2000 00:00:00
G37,01/04/2000 00:00:00,31/03/2000 00:00:00
G38,01/04/2000 00:00:00,31/03/2000 00:00:00
G39,01/04/2000 00:00:00,31/03/2000 00:00:00
H31,01/04/2000 00:00:00,31/03/2000 00:00:00
H32,01/04/2000 00:00:00,31/03/2000 00:00:00
H33,01/04/2000 00:00:00,31/03/2000 00:00:00
H34,01/04/2000 00:00:00,31/03/2000 00:00:00
H35,01/04/2000 00:00:00,31/03/2000 00:00:00
H36,01/04/2000 00:00:00,31/03/2000 00:00:00
H37,01/04/2000 00:00:00,31/03/2000 00:00:00
H38,01/04/2000 00:00:00,31/03/2000 00:00:00
H39,01/04/2000 00:00:00,31/03/2000 00:00:00
J31,01/04/2000 00:00:00,31/03/2000 00:00:00
J32,01/04/2000 00:00:00,31/03/2000 00:00:00
J33,01/04/2000 00:00:00,31/03/2000 00:00:00
J34,01/04/2000 00:00:00,31/03/2000 00:00:00
J35,01/04/2000 00:00:00,31/03/2000 00:00:00
J36,01/04/2000 00:00:00,31/03/2000 00:00:00
J37,01/04/2000 00:00:00,31/03/2000 00:00:00
J38,01/04/2000 00:00:00,31/03/2000 00:00:00
J39,01/04/2000 00:00:00,31/03/2000 00:00:00
K31,01/04/2000 00:00:00,31/03/2000 00:00:00
