Vehicle Registration,Date Stolen,Date Recovered
HTV 166,2012/5/21,2012/5/23
PLX 859,2012/5/21,2012/6/21
JDP 641,2012/5/21,
ALW 632,2012/5/21,
CGH 282,2012/5/21,2012/7/4
CWZ 122,2012/5/21,
VZY 373,2012/5/21,2012/6/10
LRA 185,2012/5/21,2012/6/20
YWS 265,2012/5/21,2012/7/2
FPM 522,2012/5/21,2012/7/8
PRV 322,2012/5/21,2012/6/7
YCS 218,2012/5/21,2012/5/31
ELB 347,2012/5/21,2012/6/18
CRB 188,2012/5/21,2012/5/26
SDL 274,2012/5/21,2012/6/6
LYG 576,2012/5/21,2012/5/30
KWH 726,2012/5/21,2012/6/12
BKD 523,2012/5/21,
ZJM 931,2012/5/21,2012/7/9
CHW 541,2012/5/21,2012/6/19
LNR 964,2012/5/21,
SNB 328,2012/5/21,
YFM 423,2012/5/21,2012/5/28
WLM 889,2012/5/21,
VSA 661,2012/5/21,2012/6/14
FLE 797,2012/5/21,2012/6/22
VRN 253,2012/5/21,2012/6/6
KGC 194,2012/5/21,2012/6/1
ABK 589,2012/5/21,2012/6/16
VZC 614,2012/5/21,
VFA 244,2012/5/21,2012/6/14
HVD 494,2012/5/21,2012/6/22
FLT 932,2012/5/21,2012/6/14
CRJ 627,2012/5/21,
YZG 741,2012/5/21,2012/6/8
NXD 982,2012/5/21,2012/7/8
GFK 664,2012/5/21,2012/7/2
TEB 719,2012/5/21,2012/6/13
RCK 919,2012/5/21,
CCJ 495,2012/5/21,2012/5/21
RZF 836,2012/5/21,2012/6/9
CPY 216,2012/5/21,2012/6/20
JMH 779,2012/5/21,2012/6/3
RFL 615,2012/5/21,2012/6/25
ECB 166,2012/5/21,
TYX 514,2012/5/21,2012/5/29
LTZ 523,2012/5/21,2012/6/1
SYE 918,2012/5/21,2012/6/12
XRY 956,2012/5/21,2012/7/8
BFY 727,2012/5/21,2012/6/3
CAB 353,2012/5/21,2012/5/26
XJH 744,2012/5/21,2012/5/21
MEP 453,2012/5/21,2012/7/8
TDJ 845,2012/5/21,2012/6/17
RZX 172,2012/5/21,2012/5/31
NAA 233,2012/5/21,2012/6/13
FAF 929,2012/5/21,2012/6/27
AEM 383,2012/5/21,2012/6/16
WJB 459,2012/5/21,2012/5/30
ZAV 538,2012/5/21,2012/6/22
STP 436,2012/5/21,2012/6/30
EBA 569,2012/5/21,2012/6/26
LPF 821,2012/5/21,2012/5/25
WXY 213,2012/5/21,
MAN 262,2012/5/21,2012/5/29
NGE 596,2012/5/21,
FKZ 668,2012/5/21,2012/6/7
RGM 477,2012/5/21,2012/6/23
MWA 646,2012/5/21,2012/6/27
LBF 886,2012/5/21,
BXX 639,2012/5/21,2012/6/19
RYL 378,2012/5/21,2012/6/15
PFZ 162,2012/5/21,2012/6/23
SSD 555,2012/5/21,
