Vehicle Registration,Date Stolen,Date Recovered
XGJ 216,2012/8/19,2012/9/3
JCL 347,2012/8/19,2012/9/14
SPL 216,2012/8/19,2012/8/31
LJX 837,2012/8/19,2012/9/13
ZBR 995,2012/8/19,2012/9/12
GFY 634,2012/8/19,2012/10/7
MWH 919,2012/8/19,2012/9/11
ACS 675,2012/8/19,2012/9/8
PFF 316,2012/8/19,
CDV 767,2012/8/19,
KZG 446,2012/8/19,
PHX 888,2012/8/19,2012/9/16
WFY 127,2012/8/19,2012/9/30
YDV 817,2012/8/19,2012/9/22
DPF 721,2012/8/19,
BER 772,2012/8/19,2012/9/5
PZX 479,2012/8/19,2012/10/4
CJK 273,2012/8/19,2012/10/5
RMR 268,2012/8/19,2012/9/21
WYZ 912,2012/8/19,2012/8/28
WMF 283,2012/8/19,2012/9/17
SMR 862,2012/8/19,2012/9/1
FVB 252,2012/8/19,2012/9/22
GAN 899,2012/8/19,
EPH 318,2012/8/19,2012/8/21
YJM 128,2012/8/19,2012/9/2
RDS 319,2012/8/19,2012/9/5
WKW 877,2012/8/19,2012/9/2
VPP 981,2012/8/19,2012/9/26
TSG 166,2012/8/19,2012/9/21
TYD 735,2012/8/19,2012/10/6
FRJ 693,2012/8/19,
CVG 534,2012/8/19,2012/9/26
JGL 473,2012/8/19,2012/8/21
VKB 865,2012/8/19,2012/9/10
RJR 262,2012/8/19,2012/9/10
CCZ 832,2012/8/19,2012/8/25
DNH 996,2012/8/19,2012/9/15
PDV 527,2012/8/19,2012/9/15
HZW 976,2012/8/19,2012/10/6
WAF 532,2012/8/19,2012/10/3
GRR 125,2012/8/19,
WRN 549,2012/8/19,2012/9/1
NJL 433,2012/8/19,2012/9/21
PDC 941,2012/8/19,2012/9/22
FDE 515,2012/8/19,2012/9/6
PVB 195,2012/8/19,2012/9/27
TXZ 975,2012/8/19,
ABK 144,2012/8/19,2012/9/20
ZDE 377,2012/8/19,
APT 526,2012/8/19,
HEE 517,2012/8/19,2012/9/22
VCM 113,2012/8/19,2012/9/14
DFB 835,2012/8/19,
RYX 278,2012/8/19,2012/10/4
KGS 222,2012/8/19,2012/9/27
LLL 632,2012/8/19,2012/10/5
BNH 968,2012/8/19,2012/9/30
ADV 196,2012/8/19,2012/10/5
ECN 864,2012/8/19,2012/8/19
KWH 816,2012/8/19,2012/9/27
ZCB 251,2012/8/19,2012/9/27
LWB 147,2012/8/19,2012/9/3
MMK 162,2012/8/19,2012/8/24
NJL 741,2012/8/19,2012/9/29
JHC 757,2012/8/19,
HYH 849,2012/8/19,2012/9/18
MLF 527,2012/8/19,2012/10/1
AKR 251,2012/8/19,2012/8/29
APR 165,2012/8/19,2012/9/6
CFT 784,2012/8/19,2012/9/2
TTE 983,2012/8/19,2012/9/3
KGT 113,2012/8/19,2012/9/20
SYT 736,2012/8/19,2012/8/28
BLJ 992,2012/8/19,2012/8/20
CBJ 883,2012/8/19,2012/9/19
GZP 373,2012/8/19,2012/9/24
NLZ 866,2012/8/19,
NEX 394,2012/8/19,2012/9/23
FBZ 998,2012/8/19,2012/9/10
GBK 499,2012/8/19,2012/8/29
TNH 522,2012/8/19,2012/8/24
VDF 633,2012/8/19,2012/9/25
FHA 737,2012/8/19,2012/10/3
AMN 529,2012/8/19,2012/8/30
ABN 412,2012/8/19,
ZKD 768,2012/8/19,2012/8/26
HMB 695,2012/8/19,
RRL 766,2012/8/19,2012/9/9
YPP 374,2012/8/19,
GYT 852,2012/8/19,
HND 686,2012/8/19,2012/9/24
NNS 473,2012/8/19,2012/9/13
ZGV 129,2012/8/19,2012/9/1
RAG 986,2012/8/19,2012/9/10
NGH 158,2012/8/19,2012/8/20
XCR 265,2012/8/19,2012/9/4
JJX 341,2012/8/19,2012/10/6
GEZ 837,2012/8/19,2012/9/23
CFW 495,2012/8/19,
FLD 132,2012/8/19,
SHN 482,2012/8/19,2012/8/23
GYS 382,2012/8/19,
KTA 468,2012/8/19,2012/8/19
LSA 989,2012/8/19,
XVD 923,2012/8/19,2012/8/24
DGC 187,2012/8/19,
KAR 519,2012/8/19,2012/9/12
HRY 122,2012/8/19,2012/9/20
SLH 111,2012/8/19,
RBE 479,2012/8/19,2012/8/23
KZM 837,2012/8/19,2012/8/24
GHP 541,2012/8/19,
RSH 333,2012/8/19,2012/8/19
CMW 172,2012/8/19,2012/8/21
NCR 268,2012/8/19,
JJT 754,2012/8/19,2012/9/23
GET 167,2012/8/19,
YDT 781,2012/8/19,
GFY 346,2012/8/19,2012/9/7
NHY 953,2012/8/19,2012/10/1
WFS 541,2012/8/19,2012/9/25
PMF 515,2012/8/19,2012/8/24
DMJ 354,2012/8/19,2012/8/29
VXL 386,2012/8/19,2012/9/19
GCX 647,2012/8/19,2012/9/27
LCR 839,2012/8/19,
EPV 996,2012/8/19,2012/8/26
AZS 555,2012/8/19,
XPD 955,2012/8/19,2012/10/3
TBT 474,2012/8/19,2012/9/8
CJB 286,2012/8/19,2012/9/21
YLP 413,2012/8/19,
DPA 788,2012/8/19,2012/9/15
SHE 897,2012/8/19,2012/9/20
NWH 247,2012/8/19,2012/9/1
ZLA 185,2012/8/19,2012/9/9
GSF 247,2012/8/19,2012/8/24
VHL 548,2012/8/19,
WZX 296,2012/8/19,2012/9/21
HVT 385,2012/8/19,2012/10/3
YVN 255,2012/8/19,2012/9/4
SAH 138,2012/8/19,
SWE 863,2012/8/19,2012/9/12
AWV 598,2012/8/19,2012/9/14
KFM 626,2012/8/19,2012/9/21
PAL 936,2012/8/19,2012/8/23
ANP 931,2012/8/19,2012/9/19
GXD 678,2012/8/19,2012/10/1
MAP 132,2012/8/19,
DWF 676,2012/8/19,2012/9/10
VGM 426,2012/8/19,2012/8/20
PWJ 451,2012/8/19,2012/9/21
DNJ 311,2012/8/19,2012/8/29
PMV 481,2012/8/19,2012/10/4
KTX 435,2012/8/19,2012/9/25
ZEL 576,2012/8/19,
DJJ 222,2012/8/19,2012/9/5
CRV 676,2012/8/19,2012/9/16
YRX 723,2012/8/19,2012/9/16
VLF 867,2012/8/19,2012/8/25
XPF 477,2012/8/19,2012/9/14
KDF 671,2012/8/19,2012/8/27
RYN 179,2012/8/19,2012/8/20
WSK 795,2012/8/19,2012/8/28
MWT 242,2012/8/19,
DSF 919,2012/8/19,2012/8/20
GXD 621,2012/8/19,2012/8/31
PJN 938,2012/8/19,2012/8/31
ZXC 841,2012/8/19,2012/8/20
BJY 171,2012/8/19,2012/9/29
RSJ 145,2012/8/19,2012/8/28
NWM 968,2012/8/19,2012/10/1
KJA 282,2012/8/19,2012/9/5
WSN 813,2012/8/19,2012/8/29
NSH 642,2012/8/19,2012/9/16
SRF 551,2012/8/19,
LPN 317,2012/8/19,2012/8/21
JDG 614,2012/8/19,2012/9/6
RAK 963,2012/8/19,2012/10/3
VPK 298,2012/8/19,2012/9/26
WHH 569,2012/8/19,2012/9/13
RWE 389,2012/8/19,2012/9/7
GYW 569,2012/8/19,2012/9/19
SFM 438,2012/8/19,2012/9/14
JMT 619,2012/8/19,2012/9/23
LNG 716,2012/8/19,2012/9/10
FCY 113,2012/8/19,2012/8/24
SCT 441,2012/8/19,2012/9/19
HSX 427,2012/8/19,2012/9/3
EBZ 169,2012/8/19,
VRD 295,2012/8/19,
KVY 923,2012/8/19,2012/9/7
YMJ 471,2012/8/19,2012/9/21
VMV 931,2012/8/19,2012/9/4
ZSN 795,2012/8/19,2012/9/29
FWY 484,2012/8/19,2012/8/31
SPD 168,2012/8/19,2012/9/3
ZSH 475,2012/8/19,2012/9/27
LDY 477,2012/8/19,2012/9/10
SNB 923,2012/8/19,2012/9/22
GXF 783,2012/8/19,
JXS 324,2012/8/19,2012/8/23
AMX 658,2012/8/19,
DSJ 174,2012/8/19,2012/9/14
ZZC 832,2012/8/19,2012/9/14
YTA 892,2012/8/19,2012/9/3
LHX 641,2012/8/19,2012/10/2
SEL 282,2012/8/19,
HAF 233,2012/8/19,2012/9/12
ZPS 784,2012/8/19,2012/8/21
JCM 458,2012/8/19,2012/9/1
BRC 164,2012/8/19,2012/9/9
HAL 992,2012/8/19,2012/10/7
WZR 832,2012/8/19,2012/9/21
DMV 779,2012/8/19,2012/9/12
TGB 624,2012/8/19,2012/9/3
EAJ 781,2012/8/19,2012/8/21
DHN 635,2012/8/19,2012/9/21
ZTX 167,2012/8/19,2012/8/21
MAE 613,2012/8/19,2012/8/22
RAP 389,2012/8/19,
KNN 449,2012/8/19,2012/8/30
PDS 462,2012/8/19,2012/8/20
ZAF 894,2012/8/19,2012/8/25
FDY 284,2012/8/19,
FVR 127,2012/8/19,2012/10/4
VYA 966,2012/8/19,2012/9/29
ADH 777,2012/8/19,
KSB 311,2012/8/19,2012/9/6
ZPD 851,2012/8/19,2012/8/31
CPA 942,2012/8/19,2012/8/27
HLE 714,2012/8/19,2012/9/6
PPN 567,2012/8/19,2012/9/18
NTY 151,2012/8/19,2012/10/3
XBR 163,2012/8/19,2012/9/20
NLX 586,2012/8/19,2012/8/30
FPD 948,2012/8/19,2012/9/21
ZGJ 632,2012/8/19,2012/8/24
NEW 973,2012/8/19,2012/10/2
ZHY 281,2012/8/19,2012/10/2
MHT 889,2012/8/19,
JFB 481,2012/8/19,2012/8/20
JNZ 683,2012/8/19,2012/9/30
TVY 185,2012/8/19,2012/9/17
JLC 843,2012/8/19,2012/9/11
PTN 535,2012/8/19,2012/9/15
GMT 323,2012/8/19,2012/8/25
MVD 115,2012/8/19,2012/8/31
RDY 492,2012/8/19,
BJA 173,2012/8/19,
FZV 383,2012/8/19,
HWJ 614,2012/8/19,
LSX 162,2012/8/19,
NNE 721,2012/8/19,
CYW 179,2012/8/19,2012/8/20
HVA 174,2012/8/19,2012/8/22
WXN 156,2012/8/19,
XPT 311,2012/8/19,2012/10/5
HEL 264,2012/8/19,2012/9/9
RMS 821,2012/8/19,
MNY 355,2012/8/19,2012/9/24
HVE 128,2012/8/19,2012/8/31
WTS 699,2012/8/19,2012/8/21
LZH 998,2012/8/19,2012/9/29
FNT 526,2012/8/19,2012/9/26
LAV 834,2012/8/19,2012/9/7
GJZ 538,2012/8/19,2012/9/2
LMW 528,2012/8/19,2012/9/14
YGV 617,2012/8/19,
ZVC 823,2012/8/19,
PLR 584,2012/8/19,2012/9/16
GDB 683,2012/8/19,2012/9/26
MEW 967,2012/8/19,2012/9/30
FVL 574,2012/8/19,2012/9/10
HTX 629,2012/8/19,2012/9/26
THH 965,2012/8/19,2012/9/4
ALH 943,2012/8/19,2012/9/13
PBG 991,2012/8/19,2012/9/26
SVG 142,2012/8/19,2012/9/12
KGD 249,2012/8/19,2012/10/5
LTK 215,2012/8/19,
EBA 178,2012/8/19,2012/9/21
NLE 833,2012/8/19,2012/9/7
ZVM 213,2012/8/19,2012/9/8
CPL 266,2012/8/19,
ZFX 314,2012/8/19,2012/9/29
PMP 971,2012/8/19,2012/9/11
JME 317,2012/8/19,2012/10/5
RJA 135,2012/8/19,
TBX 941,2012/8/19,2012/9/29
ZXM 675,2012/8/19,
CFV 144,2012/8/19,2012/8/25
GZR 747,2012/8/19,
MPD 735,2012/8/19,2012/10/2
SPH 224,2012/8/19,
KZZ 179,2012/8/19,2012/9/21
YPR 452,2012/8/19,2012/8/29
MJB 133,2012/8/19,2012/9/27
HMJ 719,2012/8/19,2012/8/23
TKF 483,2012/8/19,2012/9/8
YWT 685,2012/8/19,2012/9/29
KCP 832,2012/8/19,2012/10/3
EHS 259,2012/8/19,2012/9/1
MTR 188,2012/8/19,2012/9/10
ZLD 552,2012/8/19,2012/9/26
SVG 943,2012/8/19,2012/9/18
MBE 563,2012/8/19,2012/8/21
NWC 188,2012/8/19,2012/9/25
RHV 895,2012/8/19,
NXL 763,2012/8/19,2012/9/16
DAL 861,2012/8/19,2012/9/23
KEX 617,2012/8/19,2012/10/7
BSG 158,2012/8/19,
HDX 774,2012/8/19,2012/9/4
GXZ 849,2012/8/19,2012/10/6
RBJ 862,2012/8/19,2012/8/19
XPR 995,2012/8/19,2012/9/23
JJL 511,2012/8/19,
WPH 272,2012/8/19,
TRJ 448,2012/8/19,2012/9/13
CAV 274,2012/8/19,2012/9/2
EPK 955,2012/8/19,2012/9/15
CGY 978,2012/8/19,2012/8/28
BNE 423,2012/8/19,2012/10/6
XFH 128,2012/8/19,2012/9/9
HPY 175,2012/8/19,2012/9/16
BTH 195,2012/8/19,2012/9/9
WBB 129,2012/8/19,2012/9/17
RWC 325,2012/8/19,2012/9/10
WLR 291,2012/8/19,2012/10/6
AYF 498,2012/8/19,2012/9/20
WCG 173,2012/8/19,2012/9/2
AAL 943,2012/8/19,2012/8/27
GAF 583,2012/8/19,2012/9/4
CMC 362,2012/8/19,2012/10/6
ETK 124,2012/8/19,2012/9/16
DFD 961,2012/8/19,2012/8/26
TPC 962,2012/8/19,2012/9/12
TMZ 231,2012/8/19,2012/9/24
ASS 682,2012/8/19,2012/9/11
LSG 624,2012/8/19,
JKL 111,2012/8/19,
GXF 644,2012/8/19,
MGX 945,2012/8/19,2012/9/27
DDK 998,2012/8/19,2012/9/9
KYV 867,2012/8/19,2012/9/27
NRH 998,2012/8/19,
JDB 852,2012/8/19,2012/9/22
PWX 862,2012/8/19,2012/8/24
LXE 565,2012/8/19,2012/9/16
MYJ 728,2012/8/19,2012/9/24
PHM 786,2012/8/19,2012/9/30
EYE 789,2012/8/19,2012/9/3
NYM 162,2012/8/19,2012/9/13
PEG 689,2012/8/19,2012/9/24
CPG 374,2012/8/19,2012/9/17
AYF 638,2012/8/19,2012/8/22
PAC 237,2012/8/19,2012/9/20
WPD 633,2012/8/19,2012/9/11
EJN 269,2012/8/19,
JRA 788,2012/8/19,2012/9/19
DRZ 785,2012/8/19,2012/9/16
YWL 139,2012/8/19,2012/9/15
LAK 938,2012/8/19,2012/8/19
JYW 679,2012/8/19,2012/9/16
ZJL 637,2012/8/19,2012/9/5
VDF 856,2012/8/19,2012/10/6
CFE 847,2012/8/19,2012/9/11
RHH 979,2012/8/19,2012/9/25
FMD 858,2012/8/19,2012/9/11
RTC 263,2012/8/19,2012/8/24
ZKK 577,2012/8/19,2012/9/14
YEA 944,2012/8/19,2012/8/19
JFN 142,2012/8/19,2012/10/2
VLE 763,2012/8/19,2012/9/19
EMZ 353,2012/8/19,2012/8/31
ZXX 385,2012/8/19,2012/9/7
SGT 471,2012/8/19,2012/9/8
MER 358,2012/8/19,2012/9/19
NPT 857,2012/8/19,
AAA 536,2012/8/19,2012/9/7
BZZ 363,2012/8/19,
CDS 369,2012/8/19,
GGS 375,2012/8/19,2012/9/26
ARH 719,2012/8/19,2012/9/16
VJE 583,2012/8/19,2012/8/20
XPT 319,2012/8/19,
ZXF 992,2012/8/19,2012/9/15
EAG 991,2012/8/19,
PVM 285,2012/8/19,2012/9/5
FHJ 185,2012/8/19,
DHS 276,2012/8/19,2012/8/19
WRG 811,2012/8/19,2012/9/10
NNS 353,2012/8/19,2012/8/29
MGS 674,2012/8/19,2012/9/24
AFV 548,2012/8/19,2012/9/14
VWH 235,2012/8/19,
YNM 387,2012/8/19,2012/9/17
DGR 495,2012/8/19,2012/10/4
YNV 739,2012/8/19,2012/9/10
ASK 691,2012/8/19,2012/8/28
HNR 295,2012/8/19,2012/10/4
RXJ 122,2012/8/19,2012/8/24
XYF 672,2012/8/19,
CVF 139,2012/8/19,
CSA 487,2012/8/19,2012/9/13
RLB 454,2012/8/19,2012/9/15
PCS 985,2012/8/19,
SPB 138,2012/8/19,2012/10/7
YGZ 527,2012/8/19,
KWZ 314,2012/8/19,2012/9/14
FHL 239,2012/8/19,2012/9/3
KWP 274,2012/8/19,2012/8/27
LJL 241,2012/8/19,2012/9/24
NNM 969,2012/8/19,2012/8/23
CHW 848,2012/8/19,2012/9/11
AKB 324,2012/8/19,
RDV 794,2012/8/19,2012/9/3
PRR 753,2012/8/19,2012/10/7
TGB 453,2012/8/19,2012/9/11
XMD 994,2012/8/19,2012/9/23
DLH 424,2012/8/19,2012/9/8
ARF 728,2012/8/19,2012/9/11
KNN 831,2012/8/19,2012/9/13
SBW 423,2012/8/19,
YKM 196,2012/8/19,2012/9/1
XHJ 917,2012/8/19,
BLN 488,2012/8/19,
YZS 251,2012/8/19,2012/9/17
KBV 735,2012/8/19,2012/9/22
GEZ 976,2012/8/19,2012/9/3
MTG 778,2012/8/19,
LKB 182,2012/8/19,2012/9/28
TRL 998,2012/8/19,2012/9/29
VSC 691,2012/8/19,2012/9/7
