Vehicle Registration,Date Stolen,Date Recovered
LXR 721,2013/5/2,2013/5/12
GSX 112,2013/5/2,2013/6/2
CPY 739,2013/5/2,2013/6/3
GRY 613,2013/5/2,
PJN 594,2013/5/2,2013/6/15
BYE 572,2013/5/2,2013/6/16
ZAN 984,2013/5/2,2013/6/8
FSK 526,2013/5/2,2013/6/8
BTK 651,2013/5/2,2013/6/4
TMS 372,2013/5/2,
TFR 177,2013/5/2,2013/5/13
PBG 294,2013/5/2,2013/5/17
EEK 973,2013/5/2,2013/5/9
HWD 475,2013/5/2,
MGW 897,2013/5/2,2013/5/15
MEA 585,2013/5/2,2013/6/11
EFB 572,2013/5/2,2013/5/21
BVS 968,2013/5/2,
FER 654,2013/5/2,2013/5/28
YCK 526,2013/5/2,2013/5/5
ATD 543,2013/5/2,2013/5/21
YHV 214,2013/5/2,2013/6/7
SXE 682,2013/5/2,2013/6/14
SPN 678,2013/5/2,2013/5/14
SWX 871,2013/5/2,
WHS 264,2013/5/2,2013/5/23
JVV 355,2013/5/2,2013/5/3
XJT 778,2013/5/2,
CJK 259,2013/5/2,2013/6/18
CEV 557,2013/5/2,2013/5/9
DZE 919,2013/5/2,2013/6/19
VBY 431,2013/5/2,
TRB 392,2013/5/2,2013/5/7
WDE 375,2013/5/2,
FKN 766,2013/5/2,
KDK 496,2013/5/2,
WTT 869,2013/5/2,2013/5/20
XSD 977,2013/5/2,2013/5/29
TTC 846,2013/5/2,
RYW 887,2013/5/2,2013/5/26
VBJ 985,2013/5/2,2013/5/28
BPV 951,2013/5/2,2013/5/23
PDP 355,2013/5/2,2013/6/6
HND 716,2013/5/2,
EYB 746,2013/5/2,2013/5/25
ETV 885,2013/5/2,2013/6/7
LDD 613,2013/5/2,2013/6/5
HEN 348,2013/5/2,2013/5/15
LRR 517,2013/5/2,
SJA 769,2013/5/2,2013/5/20
WNF 945,2013/5/2,2013/5/4
FTH 213,2013/5/2,2013/6/16
LHH 282,2013/5/2,2013/5/29
VCZ 739,2013/5/2,2013/6/4
WTJ 764,2013/5/2,2013/5/4
PSF 342,2013/5/2,2013/5/2
LPF 362,2013/5/2,2013/5/3
AMC 364,2013/5/2,2013/6/8
BXH 382,2013/5/2,
GJN 293,2013/5/2,2013/5/16
CMF 674,2013/5/2,2013/6/13
STT 137,2013/5/2,2013/5/21
ZZE 587,2013/5/2,2013/5/31
VCB 269,2013/5/2,2013/6/5
EME 112,2013/5/2,2013/5/31
BSN 247,2013/5/2,2013/6/16
ZGD 917,2013/5/2,2013/6/8
YZV 636,2013/5/2,2013/5/3
AZW 764,2013/5/2,2013/5/11
JLL 225,2013/5/2,
EME 377,2013/5/2,2013/6/4
TVD 141,2013/5/2,2013/5/22
RVB 592,2013/5/2,2013/6/17
CHN 636,2013/5/2,2013/5/11
CVJ 747,2013/5/2,2013/5/3
GJZ 721,2013/5/2,2013/5/26
BCM 444,2013/5/2,
PME 521,2013/5/2,
PSZ 566,2013/5/2,2013/6/19
TTD 522,2013/5/2,
WEL 218,2013/5/2,2013/5/4
RHD 856,2013/5/2,2013/5/10
EVD 519,2013/5/2,2013/6/6
CNR 636,2013/5/2,2013/6/14
BEP 961,2013/5/2,2013/5/8
PGX 351,2013/5/2,
PYH 419,2013/5/2,2013/6/17
MBB 524,2013/5/2,
LSV 493,2013/5/2,
RHX 814,2013/5/2,
DLA 335,2013/5/2,
FSK 596,2013/5/2,
WTW 831,2013/5/2,2013/5/11
HDS 712,2013/5/2,
DAH 641,2013/5/2,2013/6/13
HRB 381,2013/5/2,
RSY 352,2013/5/2,
GRZ 176,2013/5/2,
XGJ 931,2013/5/2,2013/6/9
XXK 619,2013/5/2,2013/5/28
ZSB 425,2013/5/2,
FFJ 727,2013/5/2,2013/5/12
PYH 563,2013/5/2,2013/6/6
YEJ 672,2013/5/2,2013/5/4
CSC 166,2013/5/2,2013/6/18
SJS 161,2013/5/2,
RTZ 161,2013/5/2,2013/6/2
ZKL 929,2013/5/2,
EAR 462,2013/5/2,2013/5/6
ZZW 357,2013/5/2,2013/6/20
NFZ 921,2013/5/2,
BJB 229,2013/5/2,2013/5/14
BPW 643,2013/5/2,2013/5/26
RZB 624,2013/5/2,2013/5/13
LNK 894,2013/5/2,2013/6/15
GMG 319,2013/5/2,
TBE 884,2013/5/2,2013/5/28
TLF 291,2013/5/2,2013/6/18
DVR 654,2013/5/2,2013/6/11
TPH 893,2013/5/2,2013/5/23
DAX 224,2013/5/2,
BCC 517,2013/5/2,2013/5/15
NNC 332,2013/5/2,2013/5/27
FMD 317,2013/5/2,2013/5/21
BNA 928,2013/5/2,2013/5/31
HNN 433,2013/5/2,
HCG 422,2013/5/2,2013/5/24
MMX 622,2013/5/2,2013/5/5
SPK 664,2013/5/2,2013/5/2
ZGZ 761,2013/5/2,2013/5/7
YCX 941,2013/5/2,2013/5/20
CBK 699,2013/5/2,
MDS 691,2013/5/2,2013/5/22
CMJ 827,2013/5/2,2013/5/17
KZT 132,2013/5/2,2013/6/20
EMK 694,2013/5/2,
RWE 544,2013/5/2,2013/5/3
SXV 875,2013/5/2,2013/6/7
TAE 925,2013/5/2,2013/6/12
EAK 468,2013/5/2,2013/5/4
SHE 458,2013/5/2,2013/6/20
YWJ 432,2013/5/2,2013/5/2
VBV 928,2013/5/2,
AWG 416,2013/5/2,2013/5/16
WAD 334,2013/5/2,2013/6/13
AEB 424,2013/5/2,
ASN 512,2013/5/2,2013/6/3
MBH 756,2013/5/2,2013/6/20
NMN 397,2013/5/2,2013/5/21
EWX 975,2013/5/2,2013/6/17
VEJ 318,2013/5/2,2013/6/9
JFV 312,2013/5/2,2013/5/23
EVV 687,2013/5/2,2013/5/6
HDG 337,2013/5/2,
DTX 327,2013/5/2,2013/5/11
TWY 782,2013/5/2,
JLR 963,2013/5/2,
DBY 955,2013/5/2,2013/5/26
BTB 332,2013/5/2,2013/5/13
NAX 184,2013/5/2,
TFW 712,2013/5/2,2013/5/22
AVD 283,2013/5/2,2013/5/17
HGR 211,2013/5/2,2013/6/8
FDJ 647,2013/5/2,2013/5/14
PTD 377,2013/5/2,2013/5/29
HEG 591,2013/5/2,2013/6/7
SSR 573,2013/5/2,2013/5/6
MPM 977,2013/5/2,2013/5/25
MHN 111,2013/5/2,2013/5/26
TTW 883,2013/5/2,
