Vehicle Registration,Date Stolen,Date Recovered
NWD 538,2015/11/22,2016/1/7
BTB 442,2015/11/22,2015/11/30
FAL 254,2015/11/22,2015/12/5
WXA 448,2015/11/22,2016/1/10
MSC 277,2015/11/22,2015/12/18
PXB 565,2015/11/22,2016/1/6
RVY 965,2015/11/22,
NYR 585,2015/11/22,2015/12/4
VDX 619,2015/11/22,2016/1/10
MSM 638,2015/11/22,2015/12/25
YJT 691,2015/11/22,
CYP 721,2015/11/22,
RWR 563,2015/11/22,2015/12/21
VKJ 899,2015/11/22,2016/1/2
FFL 576,2015/11/22,2015/12/5
VVM 243,2015/11/22,2015/12/10
WJY 523,2015/11/22,2016/1/2
VBX 575,2015/11/22,
CWM 864,2015/11/22,
NZR 875,2015/11/22,2015/12/6
BZA 514,2015/11/22,
JVR 677,2015/11/22,2015/11/22
RJA 575,2015/11/22,2016/1/2
AXY 251,2015/11/22,2016/1/7
VHK 756,2015/11/22,2015/11/25
GML 777,2015/11/22,2015/12/7
ZJC 447,2015/11/22,2016/1/2
DRM 254,2015/11/22,2015/12/14
XHW 443,2015/11/22,
GFF 211,2015/11/22,2015/12/22
NCF 295,2015/11/22,
MWN 819,2015/11/22,2015/12/7
BCX 489,2015/11/22,2015/12/14
NBB 256,2015/11/22,
BEP 323,2015/11/22,2015/12/14
LVX 571,2015/11/22,2016/1/10
ZHD 922,2015/11/22,2015/12/12
RNN 857,2015/11/22,2015/12/17
FKT 839,2015/11/22,2015/12/28
RMY 119,2015/11/22,2016/1/6
BRE 257,2015/11/22,2016/1/7
VYR 676,2015/11/22,2016/1/4
GAG 332,2015/11/22,2015/11/27
PJF 634,2015/11/22,2015/12/23
RAV 853,2015/11/22,2015/12/13
MXB 432,2015/11/22,
SDV 166,2015/11/22,2015/12/8
MFN 153,2015/11/22,2015/12/20
HYY 781,2015/11/22,2015/12/6
NTV 417,2015/11/22,2015/12/25
HEY 266,2015/11/22,
RWG 374,2015/11/22,
HPA 423,2015/11/22,2015/12/3
WVK 989,2015/11/22,2016/1/4
NCS 344,2015/11/22,2016/1/5
WWA 971,2015/11/22,2015/12/2
RPA 473,2015/11/22,
ZGG 722,2015/11/22,2015/12/6
ZMS 768,2015/11/22,2016/1/1
TGN 433,2015/11/22,2016/1/5
PEF 294,2015/11/22,2015/11/22
WSH 122,2015/11/22,2015/12/17
NHZ 345,2015/11/22,2015/12/20
VCS 469,2015/11/22,2015/12/28
KLD 992,2015/11/22,2015/12/27
LJW 957,2015/11/22,2015/12/28
VYV 936,2015/11/22,
PJJ 876,2015/11/22,2015/12/24
YPR 795,2015/11/22,2015/12/28
