Vehicle Registration,Date Stolen,Date Recovered
GZD 931,2013/2/5,2013/2/23
MCD 578,2013/2/5,2013/2/18
YHD 256,2013/2/5,2013/2/26
NRP 752,2013/2/5,2013/3/17
YFL 787,2013/2/5,
LWE 386,2013/2/5,2013/3/2
NLW 134,2013/2/5,2013/2/22
MEH 646,2013/2/5,2013/2/13
GSN 536,2013/2/5,
NBT 642,2013/2/5,2013/2/12
DGE 947,2013/2/5,2013/2/14
XVD 642,2013/2/5,2013/3/7
SWZ 111,2013/2/5,2013/2/6
KRL 267,2013/2/5,2013/2/17
AJK 242,2013/2/5,2013/3/25
LZN 544,2013/2/5,2013/3/14
LYY 621,2013/2/5,
GFM 731,2013/2/5,
NVP 175,2013/2/5,2013/2/26
XJP 155,2013/2/5,
YCT 777,2013/2/5,2013/2/13
NHW 263,2013/2/5,2013/2/20
ZKY 677,2013/2/5,2013/3/6
MKS 857,2013/2/5,2013/3/9
RLV 233,2013/2/5,2013/2/24
PRL 463,2013/2/5,2013/3/18
BCC 169,2013/2/5,2013/2/20
MTD 394,2013/2/5,2013/3/2
RCM 252,2013/2/5,2013/2/15
ABA 132,2013/2/5,2013/2/20
PBS 466,2013/2/5,2013/2/10
DNN 521,2013/2/5,2013/3/20
CRT 576,2013/2/5,2013/2/11
XKA 582,2013/2/5,2013/3/26
KXS 972,2013/2/5,
ZTB 967,2013/2/5,2013/3/3
EWZ 547,2013/2/5,2013/3/4
ZWK 266,2013/2/5,2013/3/22
PEB 349,2013/2/5,2013/3/4
MSN 962,2013/2/5,
XBH 134,2013/2/5,2013/3/23
HTY 879,2013/2/5,2013/2/26
WCG 463,2013/2/5,2013/3/8
FZA 726,2013/2/5,2013/2/25
NFH 628,2013/2/5,
GJY 617,2013/2/5,2013/2/18
GDD 598,2013/2/5,2013/3/5
KCT 342,2013/2/5,2013/2/28
HEF 568,2013/2/5,2013/2/15
JDC 341,2013/2/5,2013/2/16
TLK 149,2013/2/5,2013/3/18
SSC 115,2013/2/5,
YDF 858,2013/2/5,2013/3/22
YEA 774,2013/2/5,2013/2/18
XEL 974,2013/2/5,2013/2/23
JNT 972,2013/2/5,2013/3/20
JAG 284,2013/2/5,2013/2/9
NAC 291,2013/2/5,2013/3/24
KTD 898,2013/2/5,2013/2/20
VWK 919,2013/2/5,2013/3/11
HCJ 711,2013/2/5,2013/3/7
CNH 732,2013/2/5,2013/2/28
PJL 999,2013/2/5,2013/3/23
SVK 912,2013/2/5,2013/3/19
HHX 872,2013/2/5,2013/2/21
CST 456,2013/2/5,2013/2/14
JCG 657,2013/2/5,2013/3/18
EXA 266,2013/2/5,2013/2/28
TTK 937,2013/2/5,2013/3/8
BCW 335,2013/2/5,
PVN 982,2013/2/5,2013/2/9
MNP 721,2013/2/5,2013/3/12
FWR 823,2013/2/5,2013/2/23
LYN 486,2013/2/5,2013/2/8
ZWP 816,2013/2/5,2013/2/8
RVK 718,2013/2/5,2013/2/13
JJZ 482,2013/2/5,2013/2/5
KXK 967,2013/2/5,2013/3/14
LZV 458,2013/2/5,2013/2/24
TCD 487,2013/2/5,2013/3/6
TPZ 566,2013/2/5,2013/3/15
WEK 222,2013/2/5,2013/3/23
AME 218,2013/2/5,2013/2/28
ZGR 796,2013/2/5,2013/3/6
GVD 173,2013/2/5,2013/2/22
EZL 342,2013/2/5,2013/3/4
EEG 355,2013/2/5,2013/3/5
CKL 311,2013/2/5,2013/3/21
PRY 399,2013/2/5,2013/2/16
DHY 132,2013/2/5,2013/2/11
TAN 733,2013/2/5,2013/2/19
FEX 371,2013/2/5,
BGR 732,2013/2/5,2013/3/9
ZNC 255,2013/2/5,2013/3/8
GRM 942,2013/2/5,2013/3/20
JCC 719,2013/2/5,
MTZ 154,2013/2/5,2013/3/4
JGV 822,2013/2/5,2013/2/18
NZA 168,2013/2/5,2013/3/14
JHJ 228,2013/2/5,
NAP 856,2013/2/5,2013/2/24
CZN 231,2013/2/5,2013/2/8
WHD 199,2013/2/5,2013/3/2
ZAR 214,2013/2/5,2013/2/26
ZTF 265,2013/2/5,
NCZ 636,2013/2/5,2013/3/9
FDG 873,2013/2/5,2013/2/11
MYV 592,2013/2/5,2013/3/20
MCD 588,2013/2/5,2013/3/9
BDL 799,2013/2/5,2013/2/24
JHY 816,2013/2/5,2013/3/16
PNS 668,2013/2/5,2013/2/8
FGB 241,2013/2/5,2013/2/27
MYS 574,2013/2/5,2013/3/14
NJC 631,2013/2/5,2013/3/7
GKY 321,2013/2/5,2013/3/13
CCM 682,2013/2/5,2013/3/26
XMH 293,2013/2/5,2013/3/26
VCB 375,2013/2/5,2013/2/8
RDX 922,2013/2/5,2013/2/15
EKK 682,2013/2/5,2013/3/13
KWS 764,2013/2/5,
KRL 195,2013/2/5,2013/3/5
BGZ 731,2013/2/5,2013/2/8
HWZ 584,2013/2/5,2013/2/25
JTW 873,2013/2/5,2013/3/5
DWN 562,2013/2/5,2013/3/5
XWN 621,2013/2/5,2013/2/6
TZK 855,2013/2/5,
FVS 267,2013/2/5,2013/3/20
STM 556,2013/2/5,
GFN 978,2013/2/5,2013/3/2
SKB 887,2013/2/5,2013/3/14
NLF 844,2013/2/5,
YWX 455,2013/2/5,2013/3/24
WFM 293,2013/2/5,2013/2/20
GJL 361,2013/2/5,2013/3/20
ZXY 933,2013/2/5,2013/3/15
EJA 991,2013/2/5,
KXY 635,2013/2/5,2013/3/12
DVM 198,2013/2/5,2013/3/4
ZYK 669,2013/2/5,2013/3/21
LRZ 534,2013/2/5,
NGV 723,2013/2/5,2013/3/11
DPW 577,2013/2/5,2013/3/26
WEY 972,2013/2/5,2013/3/6
ZHD 662,2013/2/5,2013/2/8
HHL 618,2013/2/5,2013/3/10
FZL 924,2013/2/5,2013/3/18
RNR 145,2013/2/5,2013/3/2
SGT 811,2013/2/5,
NBD 424,2013/2/5,
MES 776,2013/2/5,2013/2/23
MHY 951,2013/2/5,2013/2/21
VCY 718,2013/2/5,
CLJ 134,2013/2/5,2013/3/5
EPM 378,2013/2/5,
YDG 729,2013/2/5,2013/3/2
THP 157,2013/2/5,2013/3/25
MMN 334,2013/2/5,
VRV 851,2013/2/5,2013/2/8
LWV 959,2013/2/5,2013/2/7
YWG 885,2013/2/5,2013/3/18
RXS 334,2013/2/5,2013/3/18
VEY 526,2013/2/5,2013/2/9
FPP 691,2013/2/5,2013/2/12
LHG 415,2013/2/5,2013/2/18
WGE 648,2013/2/5,
AEC 396,2013/2/5,2013/2/10
TPP 282,2013/2/5,2013/3/6
