Vehicle Registration,Date Stolen,Date Recovered
YER 465,2011/12/6,2012/1/13
RVJ 194,2011/12/6,2011/12/10
KBG 774,2011/12/6,2011/12/30
EST 414,2011/12/6,2011/12/24
MFM 882,2011/12/6,2012/1/5
FTM 512,2011/12/6,2012/1/12
XTK 941,2011/12/6,2011/12/30
SGE 974,2011/12/6,2012/1/12
KLN 682,2011/12/6,2011/12/22
LAM 999,2011/12/6,
ZFK 494,2011/12/6,2012/1/3
TAD 617,2011/12/6,2012/1/2
AFD 661,2011/12/6,2012/1/6
KFL 356,2011/12/6,2012/1/5
YEZ 594,2011/12/6,
XDX 817,2011/12/6,2011/12/15
LSX 687,2011/12/6,2011/12/25
PTZ 793,2011/12/6,2012/1/19
JKR 871,2011/12/6,2012/1/18
ZDR 537,2011/12/6,2012/1/7
BSW 869,2011/12/6,
VCX 245,2011/12/6,2011/12/9
FRL 614,2011/12/6,2011/12/10
VGR 619,2011/12/6,2012/1/5
CGS 341,2011/12/6,2012/1/1
LMA 627,2011/12/6,2011/12/16
BAF 631,2011/12/6,2012/1/5
PKB 433,2011/12/6,2011/12/9
MBB 288,2011/12/6,2011/12/19
CAD 635,2011/12/6,
BEP 171,2011/12/6,
RZP 992,2011/12/6,
KDB 261,2011/12/6,2012/1/6
TAK 381,2011/12/6,
EYH 279,2011/12/6,2011/12/17
MZL 833,2011/12/6,2011/12/17
XAC 241,2011/12/6,
NJH 663,2011/12/6,2011/12/18
PMV 181,2011/12/6,2011/12/28
YPP 668,2011/12/6,2012/1/23
VKJ 892,2011/12/6,
JHN 366,2011/12/6,2012/1/17
SXF 752,2011/12/6,2011/12/14
NRF 848,2011/12/6,2011/12/27
JXW 284,2011/12/6,2012/1/9
WRR 552,2011/12/6,2012/1/16
VHY 753,2011/12/6,2012/1/24
GMG 399,2011/12/6,2012/1/10
XVY 777,2011/12/6,2011/12/27
EWX 857,2011/12/6,2011/12/27
WYA 197,2011/12/6,
XFX 324,2011/12/6,2011/12/27
ZDP 721,2011/12/6,
YPM 742,2011/12/6,2011/12/12
CWK 186,2011/12/6,
MTW 582,2011/12/6,2011/12/15
JZW 417,2011/12/6,2011/12/18
GYD 435,2011/12/6,2012/1/15
CFF 314,2011/12/6,2011/12/8
PLD 432,2011/12/6,2011/12/18
JTG 437,2011/12/6,2012/1/2
NSS 952,2011/12/6,
ZCJ 689,2011/12/6,2012/1/11
YMT 668,2011/12/6,
SHZ 525,2011/12/6,2011/12/26
SXS 372,2011/12/6,2012/1/17
NCL 277,2011/12/6,2012/1/20
AHK 819,2011/12/6,2012/1/12
FMF 225,2011/12/6,2012/1/16
SBX 124,2011/12/6,2011/12/21
RFB 543,2011/12/6,
KLK 816,2011/12/6,2011/12/19
DZA 287,2011/12/6,
GZL 689,2011/12/6,2011/12/22
APD 793,2011/12/6,
BER 719,2011/12/6,
VCX 242,2011/12/6,2012/1/22
ZZE 478,2011/12/6,2011/12/17
DWX 445,2011/12/6,2012/1/17
PAB 616,2011/12/6,2011/12/9
LJX 712,2011/12/6,2011/12/16
RFV 919,2011/12/6,2011/12/18
ZDM 211,2011/12/6,2012/1/10
GZN 413,2011/12/6,2012/1/16
XWY 496,2011/12/6,
PAV 279,2011/12/6,2012/1/17
VVS 918,2011/12/6,2011/12/19
RNJ 168,2011/12/6,2012/1/11
KJB 218,2011/12/6,2011/12/21
RMN 136,2011/12/6,2012/1/3
CWN 369,2011/12/6,
PLT 424,2011/12/6,2011/12/28
GJS 387,2011/12/6,2012/1/9
LFG 532,2011/12/6,
ZAY 734,2011/12/6,2012/1/14
BAN 529,2011/12/6,2011/12/18
BVT 893,2011/12/6,2012/1/2
DRV 368,2011/12/6,2012/1/12
FRJ 257,2011/12/6,2012/1/2
PDF 812,2011/12/6,2012/1/16
ABL 544,2011/12/6,2011/12/14
LMN 665,2011/12/6,2012/1/20
FEG 561,2011/12/6,2012/1/11
FYF 717,2011/12/6,
WFG 633,2011/12/6,2012/1/22
LRS 929,2011/12/6,
FYN 984,2011/12/6,2012/1/24
HDF 514,2011/12/6,2012/1/8
DMV 424,2011/12/6,
FHZ 947,2011/12/6,2011/12/12
SBL 124,2011/12/6,2011/12/13
FJF 214,2011/12/6,
ZZW 628,2011/12/6,2012/1/24
ZMR 541,2011/12/6,2011/12/31
AYW 196,2011/12/6,2012/1/2
JGD 728,2011/12/6,2012/1/24
MYY 495,2011/12/6,2011/12/12
BNC 676,2011/12/6,
XRC 168,2011/12/6,2011/12/9
KCG 863,2011/12/6,
MXZ 521,2011/12/6,2012/1/7
WYY 459,2011/12/6,2012/1/23
FAX 579,2011/12/6,2011/12/16
WMA 823,2011/12/6,2011/12/20
VYC 876,2011/12/6,2012/1/24
ZNF 797,2011/12/6,2012/1/22
DNP 633,2011/12/6,2011/12/29
RGP 618,2011/12/6,2011/12/24
PBP 581,2011/12/6,2011/12/8
ACL 275,2011/12/6,
NMR 677,2011/12/6,2012/1/1
LMF 494,2011/12/6,
ESB 814,2011/12/6,
MYN 383,2011/12/6,
LKB 627,2011/12/6,2012/1/18
MDB 386,2011/12/6,2012/1/7
JGZ 159,2011/12/6,
VPC 723,2011/12/6,
PCX 632,2011/12/6,2011/12/6
VCH 944,2011/12/6,2011/12/15
GYW 548,2011/12/6,2012/1/7
GYT 562,2011/12/6,2012/1/15
MXS 771,2011/12/6,
GME 463,2011/12/6,2012/1/13
KFK 251,2011/12/6,2012/1/15
LHG 445,2011/12/6,2012/1/16
HDH 575,2011/12/6,2011/12/12
NRE 863,2011/12/6,
DJB 476,2011/12/6,2012/1/12
BZF 479,2011/12/6,2012/1/13
RNA 483,2011/12/6,2012/1/8
CEP 889,2011/12/6,
HFF 145,2011/12/6,2012/1/23
JXK 727,2011/12/6,2011/12/28
XJD 136,2011/12/6,2011/12/14
SCG 599,2011/12/6,
XCC 577,2011/12/6,2011/12/28
NGA 989,2011/12/6,2012/1/15
TAY 589,2011/12/6,2012/1/19
BJG 325,2011/12/6,2012/1/12
GGX 169,2011/12/6,
YYM 152,2011/12/6,2012/1/24
GXT 912,2011/12/6,2011/12/21
EHK 452,2011/12/6,
MNS 617,2011/12/6,2012/1/15
EVM 858,2011/12/6,2011/12/18
JLA 378,2011/12/6,
AZW 355,2011/12/6,2012/1/9
XKL 954,2011/12/6,2012/1/14
BYT 365,2011/12/6,2011/12/29
BMZ 927,2011/12/6,2011/12/24
DMN 185,2011/12/6,2011/12/20
CTY 143,2011/12/6,2011/12/27
SLF 812,2011/12/6,2012/1/3
LMD 157,2011/12/6,
BVV 987,2011/12/6,2012/1/8
PAD 854,2011/12/6,2012/1/22
BZG 755,2011/12/6,2012/1/5
ZAN 443,2011/12/6,2011/12/13
CVZ 655,2011/12/6,2011/12/11
VSE 117,2011/12/6,
NJY 549,2011/12/6,2012/1/5
DWZ 823,2011/12/6,2011/12/12
XTT 753,2011/12/6,2011/12/22
XGX 845,2011/12/6,2012/1/21
AMV 146,2011/12/6,
ELL 653,2011/12/6,2012/1/15
NWD 393,2011/12/6,2012/1/5
AHR 118,2011/12/6,2011/12/13
YSW 652,2011/12/6,2012/1/24
VPM 987,2011/12/6,2011/12/7
LKE 547,2011/12/6,2011/12/20
XNZ 198,2011/12/6,2011/12/9
HWS 852,2011/12/6,2012/1/24
WXL 476,2011/12/6,2011/12/25
HAP 666,2011/12/6,2011/12/17
KCT 929,2011/12/6,2011/12/21
MDR 112,2011/12/6,2011/12/14
