Vehicle Registration,Date Stolen,Date Recovered
GCJ 944,2011/12/15,2012/1/30
FWW 193,2011/12/15,2011/12/22
ZNZ 163,2011/12/15,2012/1/13
WHW 522,2011/12/15,
CMZ 931,2011/12/15,
CGA 257,2011/12/15,2011/12/24
PDS 164,2011/12/15,
MNB 155,2011/12/15,
GSX 542,2011/12/15,2012/1/8
TZZ 334,2011/12/15,
DNW 954,2011/12/15,2012/1/9
KXK 798,2011/12/15,2012/1/7
TYX 787,2011/12/15,2012/1/30
STJ 758,2011/12/15,
EZX 966,2011/12/15,2012/1/16
DDB 578,2011/12/15,2012/2/1
LGM 356,2011/12/15,2011/12/29
RJF 718,2011/12/15,2011/12/27
BGL 985,2011/12/15,
FZN 665,2011/12/15,2012/1/19
VKE 235,2011/12/15,2012/1/13
RKH 339,2011/12/15,2012/1/25
YJH 449,2011/12/15,2011/12/18
GJB 516,2011/12/15,
RHY 661,2011/12/15,2012/1/4
SXH 427,2011/12/15,2012/1/26
DFT 323,2011/12/15,2012/1/10
HFX 851,2011/12/15,
RDN 912,2011/12/15,2012/1/17
ZVT 566,2011/12/15,2012/1/22
MSJ 795,2011/12/15,2011/12/15
WCG 425,2011/12/15,2011/12/21
GGT 128,2011/12/15,2011/12/29
NXF 451,2011/12/15,2011/12/23
LHH 768,2011/12/15,
DDD 993,2011/12/15,2012/1/15
RBD 487,2011/12/15,2011/12/30
KKE 136,2011/12/15,2012/1/28
YPY 824,2011/12/15,2011/12/16
DRW 174,2011/12/15,2011/12/19
FVS 598,2011/12/15,2012/1/24
BSG 262,2011/12/15,2012/1/25
FJA 337,2011/12/15,2011/12/28
ARE 393,2011/12/15,
HXT 594,2011/12/15,
VFV 518,2011/12/15,
WHT 438,2011/12/15,2011/12/15
MKK 366,2011/12/15,2012/1/25
VEX 743,2011/12/15,2012/1/10
MYM 198,2011/12/15,2011/12/23
TDK 556,2011/12/15,2012/1/22
WFZ 596,2011/12/15,
KAS 992,2011/12/15,2012/1/16
WYW 439,2011/12/15,2012/1/9
FEL 523,2011/12/15,2011/12/28
JHX 139,2011/12/15,2012/1/26
KGR 913,2011/12/15,2011/12/29
MXS 674,2011/12/15,2011/12/28
TFG 821,2011/12/15,
TLM 635,2011/12/15,2011/12/24
BZY 936,2011/12/15,
XXY 367,2011/12/15,
BZH 171,2011/12/15,2012/1/18
GME 677,2011/12/15,2011/12/31
SXM 743,2011/12/15,
PFX 327,2011/12/15,
ZLN 322,2011/12/15,2011/12/21
GMR 741,2011/12/15,2011/12/29
MYN 727,2011/12/15,2012/1/14
HDK 424,2011/12/15,2011/12/30
ZCP 321,2011/12/15,2012/1/23
TNK 968,2011/12/15,2012/1/24
ZRT 228,2011/12/15,2012/1/31
XVY 177,2011/12/15,2012/1/23
EDV 351,2011/12/15,2011/12/19
CZY 637,2011/12/15,2011/12/20
HXL 562,2011/12/15,
DJH 317,2011/12/15,
TMS 515,2011/12/15,2011/12/20
NFB 394,2011/12/15,
SKR 833,2011/12/15,
WRD 177,2011/12/15,2012/1/4
CXW 816,2011/12/15,2012/1/4
TNY 411,2011/12/15,2011/12/22
KDR 611,2011/12/15,2012/1/24
DNR 441,2011/12/15,2011/12/24
WSC 151,2011/12/15,
AWB 739,2011/12/15,2011/12/17
MJR 617,2011/12/15,
BHP 491,2011/12/15,2012/1/7
HCL 491,2011/12/15,2011/12/26
ZNR 392,2011/12/15,
MXX 146,2011/12/15,
JBA 257,2011/12/15,
JHH 257,2011/12/15,2012/1/25
DGN 511,2011/12/15,2011/12/20
DKX 125,2011/12/15,2012/1/1
JJY 811,2011/12/15,2012/1/26
LPX 689,2011/12/15,2012/1/19
BKX 112,2011/12/15,2012/2/2
ZBA 181,2011/12/15,2012/1/27
ZPV 179,2011/12/15,
KGA 525,2011/12/15,
SAA 763,2011/12/15,2012/1/17
JNY 998,2011/12/15,2012/1/5
VZR 226,2011/12/15,
ATP 725,2011/12/15,2011/12/25
YWH 892,2011/12/15,2012/1/1
YPS 214,2011/12/15,2011/12/22
XNS 289,2011/12/15,
YYR 869,2011/12/15,2011/12/17
JKA 256,2011/12/15,2012/1/9
