Vehicle Registration,Date Stolen,Date Recovered
KFS 483,2010/1/29,2010/3/3
JCJ 359,2010/1/29,2010/3/16
GEL 536,2010/1/29,2010/2/21
GSV 719,2010/1/29,2010/1/31
XHL 171,2010/1/29,2010/3/10
RVA 791,2010/1/29,2010/2/8
BEN 562,2010/1/29,2010/2/6
VBC 159,2010/1/29,2010/2/28
BVJ 249,2010/1/29,2010/3/18
JWV 567,2010/1/29,2010/3/2
LCR 846,2010/1/29,2010/3/18
DPF 797,2010/1/29,2010/2/4
DNR 271,2010/1/29,
EGC 847,2010/1/29,
JXP 438,2010/1/29,2010/1/31
WRA 863,2010/1/29,2010/2/18
SCH 115,2010/1/29,2010/2/27
WMP 152,2010/1/29,2010/2/12
JEG 117,2010/1/29,2010/2/19
MDJ 914,2010/1/29,2010/2/22
XKB 343,2010/1/29,2010/3/17
GDN 729,2010/1/29,2010/1/30
JMK 414,2010/1/29,2010/2/27
RYL 916,2010/1/29,2010/2/18
BRE 119,2010/1/29,
GHT 927,2010/1/29,2010/2/8
CSP 591,2010/1/29,2010/3/15
WCR 471,2010/1/29,2010/3/12
TDS 589,2010/1/29,2010/2/25
KHD 766,2010/1/29,2010/3/11
SYW 499,2010/1/29,
TSF 946,2010/1/29,2010/2/15
LAE 117,2010/1/29,
DFB 782,2010/1/29,
GRS 825,2010/1/29,2010/3/6
TRT 176,2010/1/29,2010/1/30
ZXE 648,2010/1/29,2010/3/16
DRE 787,2010/1/29,2010/2/3
VAS 795,2010/1/29,2010/2/3
GJG 496,2010/1/29,2010/2/20
EGS 913,2010/1/29,2010/3/8
TSS 531,2010/1/29,2010/3/19
NDG 784,2010/1/29,2010/3/11
VFG 156,2010/1/29,2010/1/29
FNM 512,2010/1/29,2010/2/25
FEY 286,2010/1/29,2010/3/5
JGV 847,2010/1/29,2010/3/7
LFE 797,2010/1/29,
SEF 754,2010/1/29,2010/3/16
PTJ 646,2010/1/29,
MAR 382,2010/1/29,2010/2/4
WRB 898,2010/1/29,2010/2/25
GVL 641,2010/1/29,2010/3/8
HHD 642,2010/1/29,2010/2/20
RAF 917,2010/1/29,2010/2/14
BVX 842,2010/1/29,2010/2/25
EWH 629,2010/1/29,2010/3/12
ETX 515,2010/1/29,2010/2/3
EFD 856,2010/1/29,2010/2/24
KZN 529,2010/1/29,2010/2/27
THK 578,2010/1/29,2010/3/6
EST 388,2010/1/29,2010/2/23
SDR 297,2010/1/29,2010/2/13
HTE 243,2010/1/29,2010/2/17
DRS 716,2010/1/29,2010/3/17
MLR 883,2010/1/29,2010/3/8
LZW 925,2010/1/29,
AVE 166,2010/1/29,2010/2/9
HKD 218,2010/1/29,
EGP 515,2010/1/29,
ANR 454,2010/1/29,2010/2/3
KRS 349,2010/1/29,2010/3/8
FVL 416,2010/1/29,2010/2/22
LTT 987,2010/1/29,2010/2/1
ABA 198,2010/1/29,2010/2/18
HLS 523,2010/1/29,2010/3/4
MRF 394,2010/1/29,2010/1/29
BAY 762,2010/1/29,2010/3/10
NDF 397,2010/1/29,2010/2/1
JNB 691,2010/1/29,2010/2/24
BLJ 358,2010/1/29,2010/2/23
BPY 897,2010/1/29,
RZX 914,2010/1/29,2010/2/15
NVW 444,2010/1/29,
LSR 286,2010/1/29,2010/2/11
RRF 382,2010/1/29,2010/2/24
HXZ 926,2010/1/29,2010/2/9
CNR 611,2010/1/29,2010/2/8
CXJ 211,2010/1/29,
SDG 411,2010/1/29,2010/1/30
FCB 546,2010/1/29,2010/3/15
KZB 296,2010/1/29,2010/3/6
KPE 883,2010/1/29,2010/3/5
MXE 939,2010/1/29,
NFJ 817,2010/1/29,2010/2/10
ZLT 112,2010/1/29,
KTX 582,2010/1/29,2010/2/27
KWY 549,2010/1/29,2010/2/27
HZR 628,2010/1/29,2010/2/25
HRX 357,2010/1/29,2010/2/9
TCN 692,2010/1/29,2010/2/9
RKK 287,2010/1/29,
XER 155,2010/1/29,2010/3/15
EED 233,2010/1/29,2010/2/17
NNV 341,2010/1/29,2010/2/25
TEZ 744,2010/1/29,2010/3/16
KWJ 312,2010/1/29,2010/3/12
EZJ 891,2010/1/29,2010/2/6
BSP 299,2010/1/29,2010/3/4
RKG 352,2010/1/29,2010/2/6
FMT 491,2010/1/29,2010/3/6
TNA 467,2010/1/29,2010/2/12
APS 777,2010/1/29,2010/3/3
DMR 686,2010/1/29,
VMN 437,2010/1/29,
ZEL 493,2010/1/29,2010/2/9
DPF 955,2010/1/29,2010/2/2
WHF 442,2010/1/29,
XZN 228,2010/1/29,2010/2/19
CRT 533,2010/1/29,2010/2/22
GTL 337,2010/1/29,2010/2/25
KAN 951,2010/1/29,2010/2/28
SGL 971,2010/1/29,2010/3/4
EZW 875,2010/1/29,2010/2/10
WJB 673,2010/1/29,
KER 235,2010/1/29,
BXW 985,2010/1/29,
BDC 497,2010/1/29,2010/3/1
VAC 219,2010/1/29,2010/2/5
KGM 545,2010/1/29,2010/1/30
FVT 873,2010/1/29,2010/3/6
FXN 525,2010/1/29,2010/2/11
NTJ 346,2010/1/29,
TJN 516,2010/1/29,2010/3/7
CJC 118,2010/1/29,2010/2/9
GVX 246,2010/1/29,2010/2/14
BVY 728,2010/1/29,2010/2/14
VRB 373,2010/1/29,2010/2/12
CAJ 742,2010/1/29,2010/3/4
MWY 678,2010/1/29,
BRK 371,2010/1/29,2010/2/19
BLG 479,2010/1/29,
LGZ 436,2010/1/29,2010/2/22
CDE 387,2010/1/29,2010/3/15
AZE 181,2010/1/29,
NAR 984,2010/1/29,2010/1/30
AXC 482,2010/1/29,2010/3/13
DNC 582,2010/1/29,2010/2/23
NKH 778,2010/1/29,2010/2/11
KYX 295,2010/1/29,2010/1/31
DPF 965,2010/1/29,2010/1/30
CTX 393,2010/1/29,2010/2/8
MHJ 413,2010/1/29,2010/3/12
PRZ 946,2010/1/29,2010/2/26
LHK 395,2010/1/29,
JMR 991,2010/1/29,
SLR 626,2010/1/29,2010/3/6
VZH 951,2010/1/29,2010/2/22
DFT 699,2010/1/29,2010/2/20
PGA 568,2010/1/29,2010/2/14
EXF 899,2010/1/29,2010/2/19
PML 927,2010/1/29,2010/2/26
AFV 638,2010/1/29,2010/2/7
ASZ 962,2010/1/29,2010/2/14
RVT 686,2010/1/29,
WXZ 455,2010/1/29,2010/3/8
SSM 317,2010/1/29,2010/2/11
SLW 315,2010/1/29,2010/2/11
ENG 419,2010/1/29,2010/2/23
VPW 498,2010/1/29,2010/2/12
XDD 879,2010/1/29,2010/3/12
MKX 482,2010/1/29,2010/2/6
PNE 924,2010/1/29,2010/3/10
ECM 488,2010/1/29,2010/2/17
EGJ 844,2010/1/29,2010/3/4
SGY 612,2010/1/29,2010/2/27
LMW 464,2010/1/29,2010/2/14
HKR 654,2010/1/29,2010/2/3
AZD 573,2010/1/29,2010/3/15
XZE 943,2010/1/29,
MXZ 311,2010/1/29,2010/2/13
ZWM 971,2010/1/29,2010/3/7
EFM 111,2010/1/29,
RPL 624,2010/1/29,
SPB 548,2010/1/29,2010/3/3
RHM 979,2010/1/29,2010/2/22
FXS 276,2010/1/29,2010/1/31
ZWS 467,2010/1/29,2010/3/2
RKF 112,2010/1/29,2010/3/15
PMK 669,2010/1/29,2010/2/17
CRJ 371,2010/1/29,
NPN 613,2010/1/29,2010/2/17
SZF 474,2010/1/29,
ZGN 224,2010/1/29,
KZG 944,2010/1/29,2010/3/10
ZCL 463,2010/1/29,2010/2/13
DLZ 671,2010/1/29,2010/3/19
YHH 553,2010/1/29,2010/3/17
VMD 195,2010/1/29,2010/2/28
DNJ 694,2010/1/29,2010/2/17
ZFZ 743,2010/1/29,2010/2/11
ZNZ 914,2010/1/29,2010/2/8
DGP 122,2010/1/29,2010/2/14
WPK 264,2010/1/29,2010/3/9
YRL 233,2010/1/29,2010/3/9
GSC 456,2010/1/29,2010/2/15
JRK 673,2010/1/29,2010/2/21
XHW 882,2010/1/29,2010/3/9
VJA 381,2010/1/29,2010/2/19
MBW 519,2010/1/29,2010/2/5
FPV 992,2010/1/29,2010/3/13
ETG 949,2010/1/29,
YMP 261,2010/1/29,2010/3/17
FMC 649,2010/1/29,2010/3/3
EPM 238,2010/1/29,2010/2/27
MJC 275,2010/1/29,2010/2/23
HRN 531,2010/1/29,2010/3/3
RKT 512,2010/1/29,2010/2/9
BGT 845,2010/1/29,
ZZR 298,2010/1/29,2010/3/3
APH 741,2010/1/29,
YGN 911,2010/1/29,2010/2/27
CXB 477,2010/1/29,2010/2/1
WLP 345,2010/1/29,2010/2/14
TAL 485,2010/1/29,2010/3/9
PNX 299,2010/1/29,2010/1/30
JHB 973,2010/1/29,2010/3/19
MMY 954,2010/1/29,2010/3/11
ZTD 162,2010/1/29,2010/2/19
CCT 289,2010/1/29,2010/3/13
KSY 144,2010/1/29,2010/2/2
ADX 458,2010/1/29,2010/2/20
TKD 279,2010/1/29,2010/2/11
YKX 658,2010/1/29,2010/2/24
RZN 858,2010/1/29,2010/2/2
RSB 431,2010/1/29,2010/2/3
RML 487,2010/1/29,2010/2/7
KSC 955,2010/1/29,2010/3/17
PGS 536,2010/1/29,2010/3/7
HMN 198,2010/1/29,2010/3/17
GNY 942,2010/1/29,2010/3/9
VCH 872,2010/1/29,
TWV 946,2010/1/29,
VMA 322,2010/1/29,2010/2/23
TFR 959,2010/1/29,2010/3/12
MTT 239,2010/1/29,2010/2/8
HHF 119,2010/1/29,2010/2/23
MYE 825,2010/1/29,2010/3/11
NSB 553,2010/1/29,2010/3/4
